enrollment_date,mode,YearOfBirth,Dose,n_points,b_original,C,ka,kb,tau,rms_error,note,error,C_init,ka_init,delta_k_init,tau_init,s_min,s_max,s_mean,logh_min,logh_max,logh_mean,h_first1,h_first2,h_last2,h_last1,t_first1,t_first2,t_last2,t_last1,iso_week_first,iso_week_last,optimizer_success,optimizer_fun,optimizer_nfev,optimizer_nit,optimizer_message,param_C_valid,param_ka_valid,param_kb_valid,param_tau_valid
2021_13,linear,1920,0,120,-0.003376281,-5.025671152,,,,0.210066384,linear_fit_t_mean=79.500000,,,,,,40,159,99.5,-5.806137727,-4.568254704,-5.034197869,0.007631544,0.007321347,0.005200012,0.003009029,40,41,158,159,2022-01,2024-16,,,,,,,,,
2021_13,slope7_success,1920,0,160,-0.003376281,-4.579596435,-0.281358465,-0.001793535,1.052646632,0.22011479,,,-4.715498364,-0.061079584,0.001,53,0,159,79.5,-5.806137727,-4.376717787,-5.013466514,0.010010298,0.009417172,0.005200012,0.003009029,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope7_lm_invalid_params,1920,0,160,-0.003376281,-4.981851107,0.002643739,6.041311668,-105601.1626,,invalid parameters from LM slope7 fit,,-4.715498364,-0.061079584,0.001,53,0,159,79.5,-5.806137727,-4.376717787,-5.013466514,0.010010298,0.009417172,0.005200012,0.003009029,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope8,1920,0,160,-0.003376281,-4.896281358,-0.001463701,-0.001463701,51.99990627,0.222411542,,,-5.094969178,-0.001904421,0.0001,52,0,159,79.5,-5.806137727,-4.376717787,-5.013466514,0.010010298,0.009417172,0.005200012,0.003009029,0,1,158,159,2021-13,2024-16,TRUE,14.52330469,435,23,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,TRUE,TRUE,TRUE,TRUE
2021_13,linear,1920,1,120,0.001740787,-5.146431387,,,,0.381061604,linear_fit_t_mean=79.500000,,,,,,40,159,99.5,-6.234410405,-4.253228998,-5.161005661,0.004723066,0.005179122,0.005305052,0.007123806,40,41,158,159,2022-01,2024-16,,,,,,,,,
2021_13,slope7_success,1920,1,160,0.001740787,-5.026409343,-1.445728754,0.000856541,0.154229459,0.349944085,,,-5.253417675,-0.23119529,0.304156291,53,0,159,79.5,-6.234410405,-4.253228998,-5.180027464,0.006563063,0.005208345,0.005305052,0.007123806,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope7_lm,1920,1,160,0.001740787,-5.309991634,0.003313667,-0.488116388,15522.52094,0.349086892,,,-5.253417675,-0.23119529,0.304156291,53,0,159,79.5,-6.234410405,-4.253228998,-5.180027464,0.006563063,0.005208345,0.005305052,0.007123806,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope8,1920,1,160,0.001740787,-5.252582053,-0.000200252,0.002051833,51.99984649,0.352735267,,,-5.279325921,0.001293348,0.003661637,52,0,159,79.5,-6.234410405,-4.253228998,-5.180027464,0.006563063,0.005208345,0.005305052,0.007123806,0,1,158,159,2021-13,2024-16,TRUE,21.53724262,450,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,TRUE,TRUE,TRUE,TRUE
2021_13,linear,1920,2,120,0.001134222,-5.162403117,,,,0.170307924,linear_fit_t_mean=79.500000,,,,,,40,159,99.5,-5.585258196,-4.633703494,-5.151274278,0.005064688,0.00647519,0.005340284,0.004953911,40,41,158,159,2022-01,2024-16,,,,,,,,,
2021_13,slope7_success,1920,2,160,0.001134222,-5.419009659,0.002524659,0.002524659,0.001013817,0.188940988,,,-5.683361016,0.173551294,0.001,53,0,159,79.5,-5.814738804,-4.633703494,-5.218299249,0.003075699,0.00365861,0.005340284,0.004953911,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope7_lm,1920,2,160,0.001134222,-5.589765361,0.009012737,-2.293728599,28168.22781,0.172205586,,,-5.683361016,0.173551294,0.001,53,0,159,79.5,-5.814738804,-4.633703494,-5.218299249,0.003075699,0.00365861,0.005340284,0.004953911,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope8,1920,2,145,0.001134222,-5.308891152,0.001447672,0.001447672,47.99995055,0.175422867,,,-5.441230472,0.001459346,0.0001,48,0,159,79.5,-5.814738804,-4.633703494,-5.218299249,0.003075699,0.00365861,0.005340284,0.004953911,0,1,158,159,2021-13,2024-16,FALSE,9.629504119,405,16,ABNORMAL: ,TRUE,TRUE,TRUE,TRUE
2021_13,linear,1930,0,120,-0.001427855,-5.825161564,,,,0.166166605,linear_fit_t_mean=79.500000,,,,,,40,159,99.5,-6.20066095,-5.32875784,-5.81109777,0.004006889,0.003731741,0.002854784,0.002711866,40,41,158,159,2022-01,2024-16,,,,,,,,,
2021_13,slope7_success,1930,0,160,-0.001427855,-5.635906738,-0.002369812,0.408091682,39697.1168,0.189803189,,,-5.273102734,-0.213072697,0.248121452,53,0,159,79.5,-6.20066095,-5.122108465,-5.780646802,0.005963436,0.004819037,0.002854784,0.002711866,0,1,158,159,2021-13,2024-16,,,,,,,,,
2021_13,slope7_lm,1930,0,160,-0.001427855,-5.635913409,-0.002369437,0.459489781,44702.28938,0.189803148,,,-5.273102734,-0.213072697,0.248121452,53,0,159,79.5,-6.20066095,-5.122108465,-5.780646802,0.005963436,0.004819037,0.002854784,0.002711866,0,1,158,159,2021-13,2024-16,,,,,,,,,
