enrollment_date,mode,YearOfBirth,Dose,n_points,b_original,C,ka,kb,tau,rms_error,mad_error,medae,rmedae,fit_quality,note,error,C_init,ka_init,delta_k_init,tau_init,s_min,s_max,s_mean,logh_min,logh_max,logh_mean,h_first1,h_first2,h_last2,h_last1,t_first1,t_first2,t_last2,t_last1,iso_week_first,iso_week_last,optimizer_success,optimizer_fun,optimizer_nfev,optimizer_nit,optimizer_message,optimizer_status,optimizer_status_meaning,optimizer_warnflag,optimizer_grad_norm,failure_detail,param_C_valid,param_ka_valid,param_kb_valid,param_tau_valid
2021_13,linear,1920,0,158,-0.0013584410840697175,-5.021634426780156,,,,0.22219849005419307,0.18038803073679982,0.16710466124475465,1.0998100553500134,poor,"linear_fit_t_mean=80.500000,skip_weeks=2",,,,,,2.0,159.0,80.5,-5.806137726772664,-4.376717787399277,-5.018261270793518,0.007618820618627085,0.00732578452430547,0.005200011717380827,0.0030090293516189053,2.0,3.0,158.0,159.0,2021-15,2024-16,,,,,,,,,,,,,,
2021_13,slope8,1920,0,158,-0.0013584410840697175,-5.136480596010596,0.010252701255115938,-0.005641405489382981,52.00029935569855,0.20979766829769717,0.168368008739577,0.16001956298104192,1.0531790262959464,poor,,,-5.1683435358919745,0.009246547093065768,-0.007058148101553634,52.0,0.0,159.0,79.5,-5.806137726772664,-4.376717787399277,-5.013466513636438,0.010010298094809795,0.009417171601878922,0.005200011717380827,0.0030090293516189053,0.0,1.0,158.0,159.0,2021-13,2024-16,True,13.301768128400228,215,21,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,success,,,,True,True,True,True
2021_13,linear,1920,1,158,0.0016628306080908426,-5.177286740264491,,,,0.3540912037353201,0.2705487545245964,0.20661774524165466,0.9438847725470518,poor,"linear_fit_t_mean=80.500000,skip_weeks=2",,,,,,2.0,159.0,80.5,-6.234410405328633,-4.253228998456224,-5.180510147572618,0.004184106522573985,0.004201686853700081,0.005305052229693117,0.00712380572785113,2.0,3.0,158.0,159.0,2021-15,2024-16,,,,,,,,,,,,,,
2021_13,slope8,1920,1,158,0.0016628306080908426,-5.310548441562767,0.0015532255702837843,0.0017405074661711976,51.99998027476244,0.35430664500793463,0.27059285155293333,0.20619079887415515,0.941934368071842,poor,,,-5.325555347357384,0.0031849804177422653,0.00162567853218445,52.0,0.0,159.0,79.5,-6.234410405328633,-4.253228998456224,-5.180027464058123,0.0065630632815660474,0.005208345107138235,0.005305052229693117,0.00712380572785113,0.0,1.0,158.0,159.0,2021-13,2024-16,True,21.378818697221142,205,12,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,success,,,,True,True,True,True
2021_13,linear,1920,2,143,0.0013888778183012904,-5.17786584250125,,,,0.17452054134294562,0.13167130885612746,0.10489388649694575,0.908612747751693,poor,"linear_fit_t_mean=88.000000,skip_weeks=17",,,,,,17.0,159.0,88.0,-5.814738803589492,-4.633703493705451,-5.171851671953695,0.004188424236471574,0.0029832594423741506,0.005340283812886155,0.004953911328427523,17.0,18.0,158.0,159.0,2021-30,2024-16,,,,,,,,,,,,,,
2021_13,slope8,1920,2,143,0.0013888778183012904,-5.332540895121502,0.002540460350857576,0.0011241610550629037,47.33334455007358,0.173884170552058,0.131067103101544,0.10705562398066082,0.9273381692285049,poor,,,-5.383966064912599,0.0035132924414699547,-0.00021450297904322246,47.333333333333336,0.0,159.0,79.5,-5.814738803589492,-4.633703493705451,-5.218299249465561,0.003075698728122381,0.0036586103806633056,0.005340283812886155,0.004953911328427523,0.0,1.0,158.0,159.0,2021-13,2024-16,True,9.371730242338588,265,12,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,success,,,,True,True,True,True
2021_13,linear,1930,0,158,-0.0009783139497878369,-5.815498714929314,,,,0.187157166646148,0.1480995502784023,0.1186576005706641,1.1019429590926353,poor,"linear_fit_t_mean=80.500000,skip_weeks=2",,,,,,2.0,159.0,80.5,-6.200660949527335,-5.2051928693053275,-5.787634168814188,0.004691426545266509,0.00403745632163201,0.0028547836982694102,0.002711866068749622,2.0,3.0,158.0,159.0,2021-15,2024-16,,,,,,,,,,,,,,
2021_13,slope8,1930,0,158,-0.0009783139497878369,-5.830323341105092,0.002833156458858897,-0.0020119164099547896,52.000035624910836,0.1888241621574312,0.14813690906260504,0.12587263464827414,1.1689471456192373,poor,,,-5.841845659247501,0.006155432325023462,-0.001980141904562088,52.0,0.0,159.0,79.5,-6.200660949527335,-5.122108464644392,-5.780646801866913,0.005963435936259569,0.004819037009598245,0.0028547836982694102,0.002711866068749622,0.0,1.0,158.0,159.0,2021-13,2024-16,True,11.703379158060386,115,10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,success,,,,True,True,True,True
2021_13,linear,1930,1,158,0.0020541067732938473,-6.208511544181855,,,,0.18543626955703452,0.14606411773894662,0.12159293109283675,0.8529835681447733,poor,"linear_fit_t_mean=80.500000,skip_weeks=2",,,,,,2.0,159.0,80.5,-6.766443588488137,-5.716444117943621,-6.205798394537102,0.002099330710907902,0.0021903919758529925,0.0019425949654762037,0.0017076371251772144,2.0,3.0,158.0,159.0,2021-15,2024-16,,,,,,,,,,,,,,
2021_13,slope8,1930,1,158,0.0020541067732938473,-6.435331231563702,0.00596184400957497,0.0004290368165759551,51.99999159890382,0.1821353678238967,0.14442319572616408,0.12526660774651255,0.8787546865157091,poor,,,-6.440105712680758,0.0046279519956298155,0.0013204508808842864,52.0,0.0,159.0,79.5,-6.766443588488137,-5.716444117943621,-6.201667281871236,0.0028618873634398763,0.002754980793185549,0.0019425949654762037,0.0017076371251772144,0.0,1.0,158.0,159.0,2021-13,2024-16,True,11.409956600383918,275,21,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0,success,,,,True,True,True,True
