vaccinated_count,vaccinated_pct,unvaccinated_count,unvaccinated_pct,difference,age_group,icd
1.0,0.00044822949350067237,2.0,3.927729772191673e-05,0.00040895219577875564,<50,A02
0.0,0.0,1.0,1.9638648860958365e-05,-1.9638648860958365e-05,<50,A03
3.0,0.001344688480502017,5.0,9.819324430479184e-05,0.0012464952361972252,<50,A04
0.0,0.0,1.0,1.9638648860958365e-05,-1.9638648860958365e-05,<50,A08
1.0,0.00044822949350067237,7.0,0.00013747054202670856,0.0003107589514739638,<50,A09
1.0,0.00044822949350067237,23.0,0.0004516889238020424,-3.459430301370038e-06,<50,A15
1.0,0.00044822949350067237,18.0,0.00035349567949725057,9.47338140034218e-05,<50,A16
0.0,0.0,2.0,3.927729772191673e-05,-3.927729772191673e-05,<50,A17
0.0,0.0,2.0,3.927729772191673e-05,-3.927729772191673e-05,<50,A18
0.0,0.0,4.0,7.855459544383346e-05,-7.855459544383346e-05,<50,A19
0.0,0.0,1.0,1.9638648860958365e-05,-1.9638648860958365e-05,<50,A23
0.0,0.0,1.0,1.9638648860958365e-05,-1.9638648860958365e-05,<50,A24
0.0,0.0,1.0,1.9638648860958365e-05,-1.9638648860958365e-05,<50,A31
0.0,0.0,2.0,3.927729772191673e-05,-3.927729772191673e-05,<50,A32
0.0,0.0,1.0,1.9638648860958365e-05,-1.9638648860958365e-05,<50,A33
1.0,0.00044822949350067237,27.0,0.0005302435192458759,-8.201402574520354e-05,<50,A39
0.0,0.0,8.0,0.00015710919088766692,-0.00015710919088766692,<50,A40
9.0,0.004034065441506051,177.0,0.003476040848389631,0.0005580245931164204,<50,A41
0.0,0.0,2.0,3.927729772191673e-05,-3.927729772191673e-05,<50,A42
0.0,0.0,4.0,7.855459544383346e-05,-7.855459544383346e-05,<50,A46
0.0,0.0,5.0,9.819324430479184e-05,-9.819324430479184e-05,<50,A48
3.0,0.001344688480502017,4.0,7.855459544383346e-05,0.0012661338850581834,<50,A49
0.0,0.0,1.0,1.9638648860958365e-05,-1.9638648860958365e-05,<50,A57
0.0,0.0,1.0,1.9638648860958365e-05,-1.9638648860958365e-05,<50,A79
1.0,0.00044822949350067237,8.0,0.00015710919088766692,0.00029112030261300547,<50,A81
0.0,0.0,4.0,7.855459544383346e-05,-7.855459544383346e-05,<50,A84
0.0,0.0,1.0,1.9638648860958365e-05,-1.9638648860958365e-05,<50,A85
0.0,0.0,2.0,3.927729772191673e-05,-3.927729772191673e-05,<50,A86
0.0,0.0,1.0,1.9638648860958365e-05,-1.9638648860958365e-05,<50,A87
0.0,0.0,1.0,1.9638648860958365e-05,-1.9638648860958365e-05,<50,B00
0.0,0.0,11.0,0.00021602513747054204,-0.00021602513747054204,<50,B16
0.0,0.0,18.0,0.00035349567949725057,-0.00035349567949725057,<50,B17
0.0,0.0,16.0,0.00031421838177533385,-0.00031421838177533385,<50,B18
0.0,0.0,7.0,0.00013747054202670856,-0.00013747054202670856,<50,B20
0.0,0.0,2.0,3.927729772191673e-05,-3.927729772191673e-05,<50,B21
0.0,0.0,11.0,0.00021602513747054204,-0.00021602513747054204,<50,B22
0.0,0.0,4.0,7.855459544383346e-05,-7.855459544383346e-05,<50,B23
0.0,0.0,2.0,3.927729772191673e-05,-3.927729772191673e-05,<50,B24
1.0,0.00044822949350067237,3.0,5.89159465828751e-05,0.00038931354691779726,<50,B25
0.0,0.0,1.0,1.9638648860958365e-05,-1.9638648860958365e-05,<50,B27
1.0,0.00044822949350067237,4.0,7.855459544383346e-05,0.0003696748980568389,<50,B34
0.0,0.0,3.0,5.89159465828751e-05,-5.89159465828751e-05,<50,B37
0.0,0.0,6.0,0.0001178318931657502,-0.0001178318931657502,<50,B44
0.0,0.0,1.0,1.9638648860958365e-05,-1.9638648860958365e-05,<50,B45
0.0,0.0,1.0,1.9638648860958365e-05,-1.9638648860958365e-05,<50,B48
0.0,0.0,2.0,3.927729772191673e-05,-3.927729772191673e-05,<50,B50
0.0,0.0,1.0,1.9638648860958365e-05,-1.9638648860958365e-05,<50,B58
0.0,0.0,4.0,7.855459544383346e-05,-7.855459544383346e-05,<50,B94
0.0,0.0,2.0,3.927729772191673e-05,-3.927729772191673e-05,<50,B99
0.0,0.0,3.0,5.89159465828751e-05,-5.89159465828751e-05,<50,C00
1.0,0.00044822949350067237,24.0,0.0004713275726630008,-2.3098079162328427e-05,<50,C01
4.0,0.0017929179740026895,70.0,0.0013747054202670856,0.00041821255373560387,<50,C02
