icd,count,pct
I25,4427,0.1314976534188796
I50,2320,0.06891225568823145
E11,1383,0.04108002138656211
C34,1291,0.038347294005821896
C50,1061,0.03151547555397136
G30,957,0.028426305471395474
C25,875,0.025990613675518328
J18,868,0.02578268876611418
J44,850,0.02524802471336066
I63,817,0.024267807283312542
I11,791,0.02349551476266857
I10,730,0.021683597695003862
C18,600,0.017822135091783996
I21,575,0.017079546129626328
U07,530,0.01574288599774253
I48,527,0.01565377532228361
R99,513,0.015237925503475316
A41,497,0.01476266856769441
F01,469,0.013930968930077824
C56,459,0.013633933345214757
C80,368,0.01093090952296085
I61,351,0.010425949028693638
I70,346,0.010277431236262104
I67,331,0.009831877858967504
I64,311,0.009237806689241372
K70,275,0.008168478583734332
I26,262,0.007782332323412345
C64,258,0.007663518089467118
S72,251,0.007455593180062971
C16,241,0.007158557595199905
C71,241,0.007158557595199905
I69,237,0.007039743361254678
C54,236,0.007010039802768372
C22,212,0.006297154399097012
C20,209,0.006208043723638092
I35,202,0.0060001188142339455
S06,187,0.005554565436939345
N18,182,0.005406047644507812
N17,178,0.005287233410562585
C67,166,0.004930790708726905
K74,159,0.004722865799322759
I71,156,0.004633755123863839
K56,152,0.004514940889918612
C92,152,0.004514940889918612
C90,152,0.004514940889918612
C53,147,0.004366423097487079
N39,138,0.004099091071110319
C24,132,0.003920869720192479
C23,124,0.003683241252302026
G20,119,0.0035347234598704924
C43,117,0.0034753163428978794
E10,117,0.0034753163428978794
C83,114,0.0033862056674389593
F03,111,0.0032970949919800393
I13,106,0.003148577199548506
R54,100,0.002970355848630666
C15,98,0.0029109487316580527
C57,94,0.002792134497712826
J45,94,0.002792134497712826
J84,92,0.0027327273807402127
I46,91,0.002703023822253906
I60,88,0.002613913146794986
C19,84,0.0024950989128497596
J15,81,0.0024059882373908396
A49,80,0.0023762846789045326
I80,80,0.0023762846789045326
E86,77,0.0022871740034456126
I42,75,0.0022277668864729996
I24,73,0.002168359769500386
C91,73,0.002168359769500386
K80,70,0.002079249094041466
K85,69,0.0020495455355551595
K55,68,0.002019841977068853
J96,65,0.001930731301609933
K25,65,0.001930731301609933
C76,65,0.001930731301609933
K57,65,0.001930731301609933
R09,63,0.0018713241846373195
C55,62,0.001841620626151013
A04,62,0.001841620626151013
D46,61,0.0018119170676647062
I27,60,0.0017822135091783995
I49,59,0.001752509950692093
C51,57,0.0016931028337194797
T71,57,0.0016931028337194797
I12,56,0.001663399275233173
C85,55,0.0016336957167468662
J20,54,0.0016039921582605597
C44,53,0.001574288599774253
I34,53,0.001574288599774253
I74,53,0.001574288599774253
T06,53,0.001574288599774253
I51,52,0.0015445850412879464
J10,51,0.0015148814828016396
K26,51,0.0015148814828016396
C65,49,0.0014554743658290264
K65,49,0.0014554743658290264
I08,46,0.0013663636903701063
G40,43,0.0012772530149111863
T17,42,0.0012475494564248798
C49,42,0.0012475494564248798
A46,40,0.0011881423394522663
C21,38,0.001128735222479653
G31,38,0.001128735222479653
K92,37,0.0010990316639933463
T51,36,0.0010693281055070398
E43,36,0.0010693281055070398
K72,36,0.0010693281055070398
T75,35,0.001039624547020733
K83,35,0.001039624547020733
J69,34,0.0010099209885344265
E66,32,0.0009505138715618131
C26,31,0.0009208103130755065
