cohort,t,deaths,at_risk,hazard,log_hazard,slope,hazard_adj,cum_hazard_adj
dose0_unvaccinated,0,490,41146,0.011908812521265737,-4.4304766049295035,-0.0500315151248277,0.011908812521265737,0.011908812521265737
dose0_unvaccinated,1,423,40656,0.010404368358913814,-4.565529526513667,-0.0500315151248277,0.010938156443709199,0.022846968964974936
dose0_unvaccinated,2,409,40233,0.010165784306415132,-4.588727677336248,-0.0500315151248277,0.011235637337588178,0.034082606302563115
dose0_unvaccinated,3,513,39824,0.012881679389312978,-4.351949179436604,-0.0500315151248277,0.014967791286888233,0.049050397589451344
dose0_unvaccinated,4,751,39311,0.019104067563786218,-3.9578540051478486,-0.0500315151248277,0.023336702465434893,0.07238710005488624
dose0_unvaccinated,5,820,38560,0.021265560165975105,-3.850666408466183,-0.0500315151248277,0.027309822776548847,0.09969692283143508
dose0_unvaccinated,6,584,37740,0.015474297827239004,-4.168574836094314,-0.0500315151248277,0.020892067336335213,0.1205889901677703
dose0_unvaccinated,7,547,37156,0.014721713855097428,-4.21843174208543,-0.0500315151248277,0.02089571560061512,0.14148470576838543
dose0_unvaccinated,8,522,36609,0.014258788822420716,-4.25038180291731,-0.0500315151248277,0.021276977020253832,0.16276168278863926
dose0_unvaccinated,9,440,36087,0.012192756394269404,-4.4069132417498755,-0.0500315151248277,0.019127472900786237,0.18188915568942549
dose0_unvaccinated,10,415,35647,0.011641933402530367,-4.453141750598159,-0.0500315151248277,0.019200353294741977,0.20108950898416747
dose0_unvaccinated,11,379,35232,0.010757266121707538,-4.5321738344399805,-0.0500315151248277,0.018651528706643633,0.2197410376908111
dose0_unvaccinated,12,385,34853,0.011046394858405303,-4.505651161409712,-0.0500315151248277,0.020135457165672242,0.23987649485648332
dose0_unvaccinated,13,386,34468,0.011198793083439712,-4.491949266894826,-0.0500315151248277,0.02146053589524237,0.2613370307517257
dose0_unvaccinated,14,416,34082,0.012205856463822546,-4.405839404406075,-0.0500315151248277,0.02459042369169966,0.2859274544434254
dose0_unvaccinated,15,449,33666,0.01333689776035169,-4.317220817236772,-0.0500315151248277,0.02824756300658554,0.3141750174500109
dose0_unvaccinated,16,383,33217,0.011530240539482794,-4.462782082864764,-0.0500315151248277,0.02567396486391965,0.33984898231393057
