cohort,t,deaths,at_risk,hazard
dose0_unvaccinated,0,490,41146,0.011908812521265737
dose0_unvaccinated,1,423,40656,0.010404368358913814
dose0_unvaccinated,2,409,40233,0.010165784306415132
dose0_unvaccinated,3,513,39824,0.012881679389312978
dose0_unvaccinated,4,751,39311,0.019104067563786218
dose0_unvaccinated,5,820,38560,0.021265560165975105
dose0_unvaccinated,6,584,37740,0.015474297827239004
dose0_unvaccinated,7,547,37156,0.014721713855097428
dose0_unvaccinated,8,522,36609,0.014258788822420716
dose0_unvaccinated,9,440,36087,0.012192756394269404
dose0_unvaccinated,10,415,35647,0.011641933402530367
dose0_unvaccinated,11,379,35232,0.010757266121707538
dose0_unvaccinated,12,385,34853,0.011046394858405303
dose0_unvaccinated,13,386,34468,0.011198793083439712
dose0_unvaccinated,14,416,34082,0.012205856463822546
dose0_unvaccinated,15,449,33666,0.01333689776035169
dose0_unvaccinated,16,383,33217,0.011530240539482794
dose0_unvaccinated,17,555,32834,0.01690321008710483
dose0_unvaccinated,18,484,32279,0.01499426871960098
dose0_unvaccinated,19,334,31795,0.010504796351627614
dose0_unvaccinated,20,402,31461,0.012777724802135978
dose0_unvaccinated,21,324,31059,0.010431758910460736
dose0_unvaccinated,22,353,30735,0.011485277371075322
dose0_unvaccinated,23,345,30382,0.011355407807254296
dose0_unvaccinated,24,305,30037,0.01015414322335786
dose1,0,108,17837,0.006054829848068622
dose1,1,88,17729,0.004963618929437644
dose1,2,93,17641,0.005271809988095913
dose1,3,99,17548,0.005641668566218372
dose1,4,105,17449,0.006017536821594361
dose1,5,106,17344,0.006111623616236162
dose1,6,84,17238,0.004872955099199443
dose1,7,78,17154,0.004547044421126268
dose1,8,111,17076,0.0065003513703443426
dose1,9,91,16965,0.0053639846743295016
dose1,10,71,16874,0.004207656750029631
dose1,11,63,16803,0.003749330476700589
dose1,12,76,16740,0.004540023894862605
dose1,13,83,16664,0.004980796927508402
dose1,14,77,16581,0.0046438694891743565
dose1,15,84,16504,0.005089675230247213
dose1,16,75,16420,0.004567600487210719
dose1,17,105,16345,0.006423982869379014
dose1,18,96,16240,0.005911330049261083
dose1,19,74,16144,0.004583746283448959
dose1,20,75,16070,0.004667081518357187
dose1,21,71,15995,0.004438887152235073
dose1,22,72,15924,0.004521477015825169
dose1,23,53,15852,0.0033434266969467573
dose1,24,61,15799,0.0038610038610038607
dose2,0,636,340212,0.0018694225953229163
dose2,1,743,339576,0.002188022710674488
dose2,2,864,338833,0.0025499287259505422
dose2,3,947,337969,0.0028020321390423383
dose2,4,1133,337022,0.003361798339574271
dose2,5,1208,335889,0.00359642620032213
dose2,6,1025,334681,0.0030626178360886936
dose2,7,1046,333656,0.0031349653535377754
dose2,8,1029,332610,0.0030937133579868313
dose2,9,1052,331581,0.0031726787723060125
dose2,10,1012,330529,0.0030617585748905544
dose2,11,900,329517,0.002731270313822959
dose2,12,999,328617,0.0030400131460027935
dose2,13,1059,327618,0.0032324231269344177
dose2,14,1033,326559,0.003163287491693691
dose2,15,1133,325526,0.0034805207571745422
dose2,16,1115,324393,0.003437188841929388
dose2,17,1412,323278,0.00436775778122854
dose2,18,1379,321866,0.004284391641242008
dose2,19,1034,320487,0.0032263399139434673
dose2,20,1122,319453,0.0035122537587688957
dose2,21,1063,318331,0.003339291492188948
dose2,22,1023,317268,0.00322440334354552
dose2,23,952,316245,0.0030103242739015637
dose2,24,992,315293,0.003146279809573952
dose3plus,0,0,35,0.0
dose3plus,1,0,35,0.0
dose3plus,2,0,35,0.0
dose3plus,3,0,35,0.0
dose3plus,4,0,35,0.0
dose3plus,5,0,35,0.0
dose3plus,6,0,35,0.0
dose3plus,7,0,35,0.0
dose3plus,8,0,35,0.0
dose3plus,9,0,35,0.0
dose3plus,10,1,35,0.028571428571427755
dose3plus,11,1,34,0.029411764705881485
dose3plus,12,0,33,0.0
dose3plus,13,0,33,0.0
dose3plus,14,0,33,0.0
dose3plus,15,1,33,0.030303030303029384
dose3plus,16,0,32,0.0
dose3plus,17,0,32,0.0
dose3plus,18,0,32,0.0
dose3plus,19,0,32,0.0
dose3plus,20,0,32,0.0
dose3plus,21,0,32,0.0
dose3plus,22,1,32,0.03124999999999902
dose3plus,23,1,31,0.03225806451612799
dose3plus,24,0,30,0.0
