t,cum_vax,cum_ref,cohort,kcor_ratio
0,0.006054829848068622,0.011908812521265737,dose1,0.5084327120565542
1,0.011169126628130275,0.022846968964974936,dose1,0.4888668884158771
2,0.016765861537553117,0.034082606302563115,dose1,0.49191841105767653
3,0.02293706764591806,0.049050397589451344,dose1,0.4676224612373627
4,0.029719238608613287,0.07238710005488624,dose1,0.4105598730391
5,0.036816553450888224,0.09969692283143508,dose1,0.36928475227633045
6,0.042647208850694555,0.1205889901677703,dose1,0.3536575668392915
7,0.04825306121740907,0.14148470576838543,dose1,0.34104789598997143
8,0.05651033693043632,0.16276168278863926,dose1,0.34719680923594837
9,0.06353094899314345,0.18188915568942549,dose1,0.3492838743023956
10,0.06920528756954046,0.20108950898416747,dose1,0.3441516562390388
11,0.0744150288686158,0.2197410376908111,dose1,0.33864875514506115
12,0.08091494972612678,0.23987649485648332,dose1,0.33731920993009507
13,0.08826239330377526,0.2613370307517257,dose1,0.3377339715292327
14,0.09532077149487829,0.2859274544434254,dose1,0.3333739730593287
15,0.10329158198598619,0.3141750174500109,dose1,0.3287708323342176
16,0.11066193038215898,0.33984898231393057,dose1,0.3256208967535204
17,0.12134243507444434,0.37941771813589126,dose1,0.3198122524965079
18,0.13146895224210464,0.4163185950353084,dose1,0.31578928688169416
19,0.13955959378642846,0.4434972177755104,dose1,0.3146797503851673
20,0.1480473963765184,0.4782525743998807,dose1,0.30955901609516934
21,0.15636525399462348,0.5080826374437124,dose1,0.3077555548464073
22,0.1650950721918556,0.5426102483237979,dose1,0.3042608809943308
23,0.17174633597644645,0.5784988210771289,dose1,0.2968827761072504
24,0.17966040978266923,0.612237272697035,dose1,0.2934489907661675
0,0.0018694225953229163,0.011908812521265737,dose2,0.1569780859197912
1,0.004059982399820241,0.022846968964974936,dose2,0.17770332711821024
2,0.006615828028870287,0.034082606302563115,dose2,0.19411156441338953
3,0.009427618656370295,0.049050397589451344,dose2,0.19220269599212328
4,0.012805036658599975,0.07238710005488624,dose2,0.17689666596277354
5,0.016422362220546938,0.09969692283143508,dose2,0.16472285958262434
6,0.01950634923544385,0.1205889901677703,dose2,0.1617589566687949
7,0.022666849039767817,0.14148470576838543,dose2,0.16020706207435523
8,0.02578937734336046,0.16276168278863926,dose2,0.15844870181572063
9,0.02899531965170302,0.18188915568942549,dose2,0.15941203059435233
10,0.03209276627926213,0.20108950898416747,dose2,0.15959443354963543
11,0.034859076378081555,0.2197410376908111,dose2,0.15863707910113603
12,0.03794166043804541,0.23987649485648332,dose2,0.1581716477080737
13,0.04122314949963897,0.2613370307517257,dose2,0.1577394117508126
14,0.04443817712172144,0.2859274544434254,dose2,0.15541766427455367
15,0.047979728621661784,0.3141750174500109,dose2,0.15271656228727107
16,0.05148124381842445,0.33984898231393057,dose2,0.15148270701813643
17,0.05593590274090346,0.37941771813589126,dose2,0.14742564742514788
18,0.06031060361974751,0.4163185950353084,dose2,0.14486646606425937
19,0.0636087703758095,0.4434972177755104,dose2,0.14342541018569274
20,0.06720337942915015,0.4782525743998807,dose2,0.14051859420377935
21,0.07062493342248237,0.5080826374437124,dose2,0.13900284760304865
22,0.07393259995056774,0.5426102483237979,dose2,0.13625360040437876
23,0.07702424000370851,0.5784988210771289,dose2,0.1331450250151954
24,0.08025925483975592,0.612237272697035,dose2,0.13109174893267408
0,0.0,0.011908812521265737,dose3plus,0.0
1,0.0,0.022846968964974936,dose3plus,0.0
2,0.0,0.034082606302563115,dose3plus,0.0
3,0.0,0.049050397589451344,dose3plus,0.0
4,0.0,0.07238710005488624,dose3plus,0.0
5,0.0,0.09969692283143508,dose3plus,0.0
6,0.0,0.1205889901677703,dose3plus,0.0
7,0.0,0.14148470576838543,dose3plus,0.0
8,0.0,0.16276168278863926,dose3plus,0.0
9,0.0,0.18188915568942549,dose3plus,0.0
10,0.028571428571427755,0.20108950898416747,dose3plus,0.1420831385765391
11,0.05798319327730924,0.2197410376908111,dose3plus,0.26387057186209895
12,0.05798319327730924,0.23987649485648332,dose3plus,0.24172102944791868
13,0.05798319327730924,0.2613370307517257,dose3plus,0.22187132497182277
14,0.05798319327730924,0.2859274544434254,dose3plus,0.20278987685870933
15,0.08828622358033862,0.3141750174500109,dose3plus,0.2810096878377831
16,0.08828622358033862,0.33984898231393057,dose3plus,0.25978075019958635
17,0.08828622358033862,0.37941771813589126,dose3plus,0.23268872105884517
18,0.08828622358033862,0.4163185950353084,dose3plus,0.21206408897646986
19,0.08828622358033862,0.4434972177755104,dose3plus,0.19906826929594926
20,0.08828622358033862,0.4782525743998807,dose3plus,0.1846016692977284
21,0.08828622358033862,0.5080826374437124,dose3plus,0.17376351221989078
22,0.11953622358033765,0.5426102483237979,dose3plus,0.22029849961253434
23,0.15179428809646564,0.5784988210771289,dose3plus,0.2623934268587993
24,0.15179428809646564,0.612237272697035,dose3plus,0.24793375847166524
