cohort,t,deaths,at_risk,hazard
dose0_unvaccinated,0,673,24591,0.027367736163637104
dose0_unvaccinated,1,617,23918,0.025796471276862614
dose0_unvaccinated,2,559,23301,0.023990386678683317
dose0_unvaccinated,3,655,22742,0.0288013367337965
dose0_unvaccinated,4,981,22087,0.04441526689908091
dose0_unvaccinated,5,1059,21106,0.050175305600303234
dose0_unvaccinated,6,752,20047,0.03751184715917594
dose0_unvaccinated,7,774,19295,0.040114019175952316
dose0_unvaccinated,8,784,18521,0.04233032773608336
dose0_unvaccinated,9,593,17737,0.033432936798782203
dose0_unvaccinated,10,515,17144,0.030039664022398507
dose0_unvaccinated,11,493,16629,0.029647002225028564
dose0_unvaccinated,12,492,16136,0.030490827962320274
dose0_unvaccinated,13,514,15644,0.0328560470467911
dose0_unvaccinated,14,502,15130,0.03317911434236616
dose0_unvaccinated,15,564,14628,0.038556193601312544
dose0_unvaccinated,16,483,14064,0.03434300341296928
dose0_unvaccinated,17,630,13581,0.046388336646785946
dose0_unvaccinated,18,579,12951,0.04470697243456103
dose0_unvaccinated,19,459,12372,0.03709990300678952
dose0_unvaccinated,20,472,11913,0.03962058255687064
dose0_unvaccinated,21,438,11441,0.03828336683856306
dose0_unvaccinated,22,371,11003,0.033718076888121416
dose0_unvaccinated,23,353,10632,0.03320165537998494
dose0_unvaccinated,24,351,10279,0.03414729059247008
dose1,0,116,5295,0.02190745986779981
dose1,1,103,5179,0.01988800926819849
dose1,2,108,5076,0.021276595744680847
dose1,3,93,4968,0.01871980676328502
dose1,4,115,4875,0.023589743589743584
dose1,5,89,4760,0.018697478991596635
dose1,6,85,4671,0.01819738813958467
dose1,7,80,4586,0.017444395987788918
dose1,8,73,4506,0.01620062139369729
dose1,9,83,4433,0.018723212271599364
dose1,10,53,4350,0.012183908045977009
dose1,11,59,4297,0.013730509657900859
dose1,12,64,4238,0.015101462954223687
dose1,13,72,4174,0.01724964063248682
dose1,14,50,4102,0.012189176011701606
dose1,15,73,4052,0.018015794669299107
dose1,16,62,3979,0.015581804473485797
dose1,17,83,3917,0.021189685984171557
dose1,18,76,3834,0.019822639540949396
dose1,19,62,3758,0.01649813730707823
dose1,20,68,3696,0.018398268398268393
dose1,21,48,3628,0.013230429988974638
dose1,22,57,3580,0.015921787709497204
dose1,23,43,3523,0.012205506670451317
dose1,24,47,3480,0.013505747126436778
dose2,0,999,110568,0.009035163881050575
dose2,1,1021,109569,0.00931832908943223
dose2,2,1093,108548,0.010069278107381067
dose2,3,1205,107455,0.011213996556698153
dose2,4,1412,106250,0.013289411764705883
dose2,5,1439,104838,0.013725939067895229
dose2,6,1281,103399,0.012388901246627143
dose2,7,1218,102118,0.011927378131181575
dose2,8,1254,100900,0.012428146679881071
dose2,9,1273,99646,0.012775224294000763
dose2,10,1077,98373,0.010948126010185721
dose2,11,1063,97296,0.010925423450090446
dose2,12,1145,96233,0.011898205397316928
dose2,13,1170,95088,0.012304391721352852
dose2,14,1116,93918,0.011882706190506612
dose2,15,1254,92802,0.013512639813797116
dose2,16,1150,91548,0.012561716258137807
dose2,17,1621,90398,0.01793181265072236
dose2,18,1457,88777,0.016411908489811552
dose2,19,1092,87320,0.012505726065048099
dose2,20,1229,86228,0.01425291088741476
dose2,21,1049,84999,0.012341321662607796
dose2,22,1015,83950,0.012090530077427039
dose2,23,976,82935,0.011768252245734611
dose2,24,1008,81959,0.01229883234300077
dose3plus,0,0,12,0.0
dose3plus,1,0,12,0.0
dose3plus,2,0,12,0.0
dose3plus,3,0,12,0.0
dose3plus,4,0,12,0.0
dose3plus,5,0,12,0.0
dose3plus,6,0,12,0.0
dose3plus,7,0,12,0.0
dose3plus,8,2,12,0.16666666666665278
dose3plus,9,1,10,0.09999999999999
dose3plus,10,0,9,0.0
dose3plus,11,0,9,0.0
dose3plus,12,0,9,0.0
dose3plus,13,0,9,0.0
dose3plus,14,0,9,0.0
dose3plus,15,0,9,0.0
dose3plus,16,0,9,0.0
dose3plus,17,0,9,0.0
dose3plus,18,0,9,0.0
dose3plus,19,0,9,0.0
dose3plus,20,0,9,0.0
dose3plus,21,0,9,0.0
dose3plus,22,1,9,0.11111111111109877
dose3plus,23,0,8,0.0
dose3plus,24,0,8,0.0
