t,cum_vax,cum_ref,cohort,kcor_ratio
0,0.02190745986779981,0.027367736163637104,dose1,0.8004849117227049
1,0.042923396574124556,0.05365042642668297,dose1,0.8000569507491669
2,0.06668178718752074,0.07855369068330016,dose1,0.8488689278204448
3,0.08877066616597887,0.10901448249136592,dose1,0.8143015876096583
4,0.11818459063206949,0.1568742224150122,dose1,0.7533716426568648
5,0.14282059342009013,0.21195976085926327,dose1,0.6738099384545264
6,0.16815750566272591,0.25391880028905345,dose1,0.6622491342533057
7,0.19382349464488563,0.2996342271611117,dose1,0.64686700341487
8,0.21901134925309404,0.3487847053047493,dose1,0.6279270447398368
9,0.24977212646058825,0.3883359502272706,dose1,0.6431856909301544
10,0.27092459188990303,0.4245427563230134,dose1,0.638156199473892
11,0.29611402984828655,0.46094980258499063,dose1,0.6423997324373433
12,0.32538979665373974,0.49909882309416637,dose1,0.6519546462478747
13,0.3607265583216059,0.5409819406162355,dose1,0.6667996308897733
14,0.3871128574858985,0.5840740736916714,dose1,0.6627804159127767
15,0.4283240323142272,0.6350936526273615,dose1,0.6744265677063381
16,0.4659889272567891,0.6813946669509021,dose1,0.6838752192489379
17,0.5201143085744773,0.7451139010561608,dose1,0.6980332910666998
18,0.5736194319785651,0.807681072491321,dose1,0.7102053663440513
19,0.6206766488793729,0.8605808140151592,dose1,0.7212299400248057
20,0.6761297339602352,0.9181395366274265,dose1,0.7364128294083764
21,0.7182683394947726,0.9748038890313095,dose1,0.7368336827295586
22,0.771854848848848,1.0256516830241345,dose1,0.7525506579117396
23,0.8152635597969174,1.076664413663482,dose1,0.7572123211745492
24,0.8660206981657989,1.1301189539330612,dose1,0.766309329784348
0,0.009035163881050575,0.027367736163637104,dose2,0.33013924961485325
1,0.018431603921466665,0.05365042642668297,dose2,0.34354999855054613
2,0.0286704011323705,0.07855369068330016,dose2,0.36497841008634624
3,0.0401687723816429,0.10901448249136592,dose2,0.3684718898193719
4,0.053909412621639397,0.1568742224150122,dose2,0.34364736150645514
5,0.06822036644434398,0.21195976085926327,dose2,0.32185527180944024
6,0.08124557265511487,0.25391880028905345,dose2,0.31996674748899023
7,0.09389066796360818,0.2996342271611117,dose2,0.3133509440922793
8,0.10717711290730722,0.3487847053047493,dose2,0.3072873072612354
9,0.12094908894816256,0.3883359502272706,dose2,0.31145478258468373
10,0.13285034543457896,0.4245427563230134,dose2,0.31292571467922264
11,0.14482647838753496,0.46094980258499063,dose2,0.31419143163754243
12,0.1579782753255773,0.49909882309416637,dose2,0.3165270443754474
13,0.1716930628765836,0.5409819406162355,dose2,0.3173730026564098
14,0.18504885335766613,0.5840740736916714,dose2,0.3168242894051745
15,0.20036395000464424,0.6350936526273615,dose2,0.31548725007001677
16,0.21472062349206056,0.6813946669509021,dose2,0.31511931910558544
17,0.23538652424957296,0.7451139010561608,dose2,0.3159067679660904
18,0.2544593278276477,0.807681072491321,dose2,0.3150492644856017
19,0.26911445743239093,0.8605808140151592,dose2,0.3127125925297909
20,0.2859570764434149,0.9181395366274265,dose2,0.3114527422416648
21,0.3006630245645352,0.9748038890313095,dose2,0.30843437120773515
22,0.3151908964791169,1.0256516830241345,dose2,0.3073079308459467
23,0.3294500561399577,1.076664413663482,dose2,0.305991404525629
24,0.3444770167228257,1.1301189539330612,dose2,0.3048148299111925
0,0.0,0.027367736163637104,dose3plus,0.0
1,0.0,0.05365042642668297,dose3plus,0.0
2,0.0,0.07855369068330016,dose3plus,0.0
3,0.0,0.10901448249136592,dose3plus,0.0
4,0.0,0.1568742224150122,dose3plus,0.0
5,0.0,0.21195976085926327,dose3plus,0.0
6,0.0,0.25391880028905345,dose3plus,0.0
7,0.0,0.2996342271611117,dose3plus,0.0
8,9.922903012752593,0.3487847053047493,dose3plus,28.44993734474121
9,19.845806025505187,0.3883359502272706,dose3plus,51.10473551016711
10,19.845806025505187,0.4245427563230134,dose3plus,46.74630700884873
11,19.845806025505187,0.46094980258499063,dose3plus,43.05415885670747
12,19.845806025505187,0.49909882309416637,dose3plus,39.763279549391086
13,19.845806025505187,0.5409819406162355,dose3plus,36.68478471363025
14,19.845806025505187,0.5840740736916714,dose3plus,33.97823481538006
15,19.845806025505187,0.6350936526273615,dose3plus,31.24862914842952
16,19.845806025505187,0.6813946669509021,dose3plus,29.125273483988174
17,19.845806025505187,0.7451139010561608,dose3plus,26.634593714260514
18,19.845806025505187,0.807681072491321,dose3plus,24.571339729759323
19,19.845806025505187,0.8605808140151592,dose3plus,23.060944076697183
20,19.845806025505187,0.9181395366274265,dose3plus,21.61523955104096
21,19.845806025505187,0.9748038890313095,dose3plus,20.358767798111856
22,8461.547126370982,1.0256516830241345,dose3plus,8249.922723681257
23,8461.547126370982,1.076664413663482,dose3plus,7859.038544398135
24,8461.547126370982,1.1301189539330612,dose3plus,7487.306621055651
