cohort,t,kcor_ratio,ci_lower,ci_upper,log_se,ref_ch,vax_ch,ref_var,vax_var,z_score,p_value,significant
dose1,5,0.3469251124562971,0.30915979592018494,0.38930363922185635,0.058802437794741334,0.009646130839470001,0.0049032571878035005,7.634018412559459e-09,1.2551656681461369e-08,-18.003442991068987,0.0,True
dose1,6,0.365114103281764,0.3350681033299481,0.3978543677849734,0.043815147855722866,0.011613312592305,0.005668912142794601,9.508923474907923e-09,1.4797739095647467e-08,-22.995366028190908,0.0,True
dose1,7,0.3735792668940117,0.3476932036796316,0.40139257016269075,0.03663828396815622,0.013586461652135902,0.0064447564763638,1.1515788017336601e-08,1.7167559685928942e-08,-26.874213609154395,0.0,True
dose1,8,0.39083801291051906,0.36734523147126036,0.4158332251218945,0.0316286902749926,0.0156897604108682,0.0073797952457983,1.3798484440703595e-08,2.014136070751308e-08,-29.702845293359005,0.0,True
dose1,9,0.40692988868909424,0.38478802243443905,0.4303458648761151,0.028545583390400853,0.0175206755628333,0.0082640457560741,1.5918819857335876e-08,2.306982125029642e-08,-31.497495067630645,0.0,True
dose1,10,0.40956936281462325,0.3887656904137326,0.43148628362203606,0.026597146504373063,0.0192886030964499,0.0090157990903896,1.810300417887322e-08,2.5662174808345105e-08,-33.56183362464949,0.0,True
dose1,11,0.41731561555592284,0.3974080751608635,0.4382203932728974,0.024938803898818668,0.021057178786518502,0.0098487367858848,2.0433749314120487e-08,2.8652628276348975e-08,-35.04227689408278,0.0,True
dose1,12,0.4213878473702057,0.4023717429425886,0.4413026536424342,0.02356026315299256,0.022988609983554203,0.0107197010240223,2.3148761300207195e-08,3.190833086911544e-08,-36.6804738605797,0.0,True
dose1,13,0.42901315613197694,0.4106768929507046,0.44816811292183567,0.022286546587415922,0.025063807405486704,0.0117316037208251,2.6260354031417767e-08,3.584658882218038e-08,-37.9721322112723,0.0,True
dose1,14,0.4231673542842481,0.4058111819637411,0.4412658341877089,0.021367614594007336,0.027362146577074104,0.0125988202076762,2.9936319896173104e-08,3.936090861221014e-08,-40.24724134694871,0.0,True
dose1,15,0.41980006703717104,0.4033183037467789,0.4369553641558991,0.020435314934439123,0.030057799254542106,0.0136620237178578,3.4535397970566014e-08,4.3846629660077635e-08,-42.47434965851609,0.0,True
dose1,16,0.41856780933068566,0.40272255021789366,0.4350365056863528,0.019689669158096612,0.03256045006507731,0.0146811885002972,3.90904969374554e-08,4.832377127113287e-08,-44.232148631904685,0.0,True
dose1,17,0.4161403506472243,0.40106277249542766,0.4317847561849413,0.018829238736661178,0.03607256497831481,0.0160807705577929,4.5909154297204016e-08,5.472517628964246e-08,-46.562301669191726,0.0,True
dose1,18,0.4131233563658639,0.3986882046859198,0.42808115607395103,0.01814653882622335,0.039478129165399514,0.0174000965436652,5.296381818549728e-08,6.100900682032085e-08,-48.715022483854725,0.0,True
dose1,19,0.41183989078884436,0.3978422643671241,0.42633000773505364,0.017642698263263347,0.04234895514169251,0.0185407835360871,5.9308423101709066e-08,6.666625384067162e-08,-50.28259320175684,0.0,True
dose1,20,0.411293820861067,0.39770569074118806,0.4253462070488203,0.0171409223391332,0.04559727649916831,0.019857516691964498,6.696560136109499e-08,7.346541542414951e-08,-51.83194986337154,0.0,True
dose1,21,0.4086282085930272,0.3954328753929587,0.42226386132416094,0.016747585933515476,0.04873029423412031,0.021034976449325497,7.484345058061685e-08,7.97960614524816e-08,-53.43752618145743,0.0,True
dose1,22,0.40607104006331773,0.39323002428736736,0.41933138212661614,0.01639488067026875,0.05195661787271281,0.022238483055858196,8.349612241847302e-08,8.653293657791374e-08,-54.970034688678815,0.0,True
dose1,23,0.39875367525831895,0.3863451729769783,0.41156070957690394,0.01612920995766562,0.05529471206250611,0.023240886583878996,9.304442817676987e-08,9.237487165342943e-08,-57.00287927244905,0.0,True
dose1,24,0.39546655360139366,0.3833622233141208,0.4079530676375941,0.0158604553352542,0.05864135752855731,0.024405752691473496,1.0325412359649794e-07,9.944212711500518e-08,-58.49069545109111,0.0,True
dose2,5,0.5603075196525067,0.5333777767738298,0.5885969199505424,0.025130986126324185,0.009646130839470001,0.0067440671916484006,7.634018412559459e-09,2.78203792686413e-09,-23.050010884092277,0.0,True
dose2,6,0.5946929523815364,0.5730761279702049,0.6171251782287739,0.018891499918244705,0.011613312592305,0.0080035610934087,9.508923474907923e-09,3.319775177227385e-09,-27.510258862503303,0.0,True
dose2,7,0.608706536464243,0.590061872391514,0.6279403311258982,0.015872166134800116,0.013586461652135902,0.0092687231496759,1.1515788017336601e-08,3.865880611761084e-09,-31.27607164161644,0.0,True
dose2,8,0.6127545082346707,0.5962347190115349,0.6297320088712399,0.013944116624032131,0.0156897604108682,0.0105840302321376,1.3798484440703595e-08,4.439879523895804e-09,-35.12527271729224,0.0,True
dose2,9,0.6329297913100321,0.617352499652105,0.6489001355846293,0.012714176882033752,0.0175206755628333,0.0119173892893642,1.5918819857335876e-08,5.028180773230123e-09,-35.97525671031816,0.0,True
dose2,10,0.643003260734468,0.6282441743138115,0.6581090764060727,0.011847611503500876,0.0192886030964499,0.0131597526918532,1.810300417887322e-08,5.582387891307064e-09,-37.27379847829961,0.0,True
dose2,11,0.646392831743748,0.6323763357082987,0.6607200006333478,0.011185273297826518,0.021057178786518502,0.0143444660174693,2.0433749314120487e-08,6.116664885556231e-09,-39.01092532328829,0.0,True
dose2,12,0.6510649961075313,0.6376771557895579,0.6647339101110716,0.010600882433137473,0.022988609983554203,0.0156674454343174,2.3148761300207195e-08,6.7197918798373756e-09,-40.4820828882001,0.0,True
dose2,13,0.6512846415492369,0.6385145455238151,0.6643101355975255,0.010103414256922634,0.025063807405486704,0.017022492758524,2.6260354031417767e-08,7.344333801891624e-09,-42.44193933128648,0.0,True
dose2,14,0.645223950868819,0.6331123119115747,0.6575672893136119,0.009668357655979206,0.027362146577074104,0.0183961974306838,2.9936319896173104e-08,7.984450669705015e-09,-45.31874258186251,0.0,True
dose2,15,0.6350951652299527,0.623674864117883,0.6467245869671976,0.009258166389191021,0.030057799254542106,0.0199023512590323,3.4535397970566014e-08,8.694021941099751e-09,-49.035673558910226,0.0,True
