t,cum_vax,cum_ref,cohort,kcor_ratio
0,0.001552503502159063,0.0016715916253650074,dose1,0.9287576449130044
1,0.005408660796508053,0.0030501694129532594,dose1,1.7732329134787315
2,0.009507801654091024,0.004780033626699152,dose1,1.989065850707741
3,0.013103298700147063,0.0060493622555545835,dose1,2.166062825209289
4,0.016947892857297267,0.00711969588402566,dose1,2.3804237050268595
5,0.020902918907505535,0.008136052138175906,dose1,2.569172191861442
6,0.024988862712908778,0.00919101506320409,dose1,2.7188360086833048
7,0.029022707715187206,0.010288409805574043,dose1,2.8209128777746004
8,0.03364072715867693,0.011461103297615377,dose1,2.935208442169881
9,0.03900988487780873,0.012834091748428214,dose1,3.039551659707178
10,0.045146214267467816,0.014662950442525993,dose1,3.078931108807016
11,0.05126791016124308,0.01672346265099002,dose1,3.06562768896084
12,0.0569602472350297,0.018381016722727725,dose1,3.0988627066260563
13,0.06344548360473277,0.0200212502541356,dose1,3.168907175937154
14,0.06973906422603096,0.021784114536701024,dose1,3.2013724544707083
15,0.07604954208688441,0.0234673383831956,dose1,3.2406547705512705
16,0.08166202453916764,0.025068789310627462,dose1,3.2575176855984416
17,0.08701050173674886,0.026646763540188082,dose1,3.2653309510648882
18,0.09308905483380844,0.02839506002097653,dose1,3.2783538672487964
19,0.0990982818476927,0.030241750660891093,dose1,3.276869879512982
20,0.10584164095518182,0.032151416947748535,dose1,3.2919743824634646
21,0.11279677275621593,0.03433682723100073,dose1,3.2850086000692937
22,0.11967212872571194,0.03642691613332697,dose1,3.2852665398413645
23,0.13002927391962743,0.03920797132436589,dose1,3.316398924101029
24,0.1393520412580403,0.04195589091326007,dose1,3.3213939263693955
0,0.00021426275756168981,0.0016715916253650074,dose2,0.12817888901945454
1,0.001194444324971534,0.0030501694129532594,dose2,0.3915993385506546
2,0.0019113365543502615,0.004780033626699152,dose2,0.39985839080179747
3,0.0029208610441537543,0.0060493622555545835,dose2,0.482837846417439
4,0.003987296505449546,0.00711969588402566,dose2,0.5600374748921141
5,0.00492609281038187,0.008136052138175906,dose2,0.605464754418453
6,0.006215145835639561,0.00919101506320409,dose2,0.6762197420223434
7,0.007576968596434463,0.010288409805574043,dose2,0.7364567254691745
8,0.009126339715037964,0.011461103297615377,dose2,0.7962880603423688
9,0.01082175940834412,0.012834091748428214,dose2,0.8432041487334896
10,0.012118927916920949,0.014662950442525993,dose2,0.8264999573992092
11,0.01440251879084213,0.01672346265099002,dose2,0.8612163097173116
12,0.01626420595675222,0.018381016722727725,dose2,0.8848371230606111
13,0.018595305502733542,0.0200212502541356,dose2,0.9287784361999926
14,0.02044273933545965,0.021784114536701024,dose2,0.9384241576622314
15,0.022800921267813228,0.0234673383831956,dose2,0.9716023561994069
16,0.02451926458482931,0.025068789310627462,dose2,0.9780793272476358
17,0.025971240239836654,0.026646763540188082,dose2,0.9746489550107177
18,0.027696317241073694,0.02839506002097653,dose2,0.97539210058503
19,0.031239000464769257,0.030241750660891093,dose2,1.032975928345803
20,0.033057486139261974,0.032151416947748535,dose2,1.028181314433444
21,0.03554288843208385,0.03433682723100073,dose2,1.0351244217159095
22,0.038048914235718226,0.03642691613332697,dose2,1.0445274613807554
23,0.04107411483173036,0.03920797132436589,dose2,1.0475960230351717
24,0.04360411744420849,0.04195589091326007,dose2,1.0392847462902575
