cohort,t,deaths,at_risk,hazard
dose0_unvaccinated,0,1808,1549449,0.0011668664150933654
dose0_unvaccinated,1,1635,1547641,0.0010564465531735074
dose0_unvaccinated,2,1550,1546006,0.001002583431112169
dose0_unvaccinated,3,1813,1544456,0.0011738761091283922
dose0_unvaccinated,4,2616,1542643,0.0016957909250552461
dose0_unvaccinated,5,2920,1540027,0.0018960706533067276
dose0_unvaccinated,6,2064,1537107,0.001342782252634332
dose0_unvaccinated,7,1940,1535043,0.001263808245111049
dose0_unvaccinated,8,1938,1533103,0.0012641029337233049
dose0_unvaccinated,9,1581,1531165,0.0010325471128193237
dose0_unvaccinated,10,1431,1529584,0.000935548489000931
dose0_unvaccinated,11,1342,1528153,0.000878184317931516
dose0_unvaccinated,12,1374,1526811,0.0008999149207072781
dose0_unvaccinated,13,1384,1525437,0.0009072809955442277
dose0_unvaccinated,14,1437,1524053,0.0009428805953598726
dose0_unvaccinated,15,1580,1522616,0.0010376877689450262
dose0_unvaccinated,16,1375,1521036,0.0009039891232028696
dose0_unvaccinated,17,1809,1519661,0.001190397068819954
dose0_unvaccinated,18,1644,1517852,0.0010831095521829533
dose0_unvaccinated,19,1299,1516208,0.0008567426105125419
dose0_unvaccinated,20,1378,1514909,0.0009096255946726833
dose0_unvaccinated,21,1246,1513531,0.0008232404886322117
dose0_unvaccinated,22,1203,1512285,0.0007954849780299349
dose0_unvaccinated,23,1167,1511082,0.0007722942897870533
dose0_unvaccinated,24,1097,1509915,0.0007265309636635174
dose1,0,366,434763,0.0008418379668923068
dose1,1,301,434397,0.0006929145459107683
dose1,2,317,434096,0.0007302532158785153
dose1,3,296,433779,0.0006823751265045104
dose1,4,324,433483,0.0007474341554340078
dose1,5,321,433159,0.0007410673678718439
dose1,6,261,432838,0.0006029969642221801
dose1,7,254,432577,0.0005871786988212504
dose1,8,294,432323,0.0006800470944178311
dose1,9,267,432029,0.0006180140685000312
dose1,10,218,431762,0.0005049077964248822
dose1,11,232,431544,0.0005376045084626365
dose1,12,233,431312,0.0005402121897837296
dose1,13,260,431079,0.0006031377079375243
dose1,14,214,430819,0.000496728324423946
dose1,15,252,430605,0.0005852231163130944
dose1,16,232,430353,0.0005390923265319401
dose1,17,306,430121,0.0007114277145268425
dose1,18,277,429815,0.000644463315612531
dose1,19,230,429538,0.0005354590280720216
dose1,20,255,429308,0.0005939791478379159
dose1,21,219,429053,0.0005104264508114382
dose1,22,215,428834,0.0005013595004127471
dose1,23,172,428619,0.0004012887902776125
dose1,24,192,428447,0.0004481301071077636
dose2,0,2029,2499868,0.0008116428547427304
dose2,1,2262,2497839,0.0009055827857600109
dose2,2,2500,2495577,0.0010017723356161722
dose2,3,2822,2493077,0.0011319345531646235
dose2,4,3282,2490255,0.0013179373196720817
dose2,5,3459,2486973,0.0013908474277766587
dose2,6,2950,2483514,0.0011878330462401258
dose2,7,2931,2480564,0.001181586123155863
dose2,8,3014,2477633,0.0012164836357927101
dose2,9,3022,2474619,0.0012211980915041872
dose2,10,2785,2471597,0.001126801820847007
dose2,11,2627,2468812,0.0010640745427355344
dose2,12,2902,2466185,0.0011767162641894262
dose2,13,2940,2463283,0.0011935291235314822
dose2,14,2948,2460343,0.0011982069166778778
dose2,15,3197,2457395,0.0013009711503441652
dose2,16,3054,2454198,0.0012443983737253474
dose2,17,3953,2451144,0.0016127163479583411
dose2,18,3802,2447191,0.001553618005296685
dose2,19,2844,2443389,0.0011639571103905272
dose2,20,3250,2440545,0.0013316697704815932
dose2,21,2925,2437295,0.0012001009315655265
dose2,22,2778,2434370,0.0011411576711839204
dose2,23,2682,2431592,0.0011029810922227085
dose2,24,2787,2428910,0.0011474282702940825
dose3plus,0,0,196,0.0
dose3plus,1,0,196,0.0
dose3plus,2,0,196,0.0
dose3plus,3,0,196,0.0
dose3plus,4,0,196,0.0
dose3plus,5,0,196,0.0
dose3plus,6,0,196,0.0
dose3plus,7,0,196,0.0
dose3plus,8,2,196,0.01020408163265301
dose3plus,9,1,194,0.005154639175257706
dose3plus,10,1,193,0.005181347150259041
dose3plus,11,1,192,0.005208333333333306
dose3plus,12,0,191,0.0
dose3plus,13,0,191,0.0
dose3plus,14,0,191,0.0
dose3plus,15,1,191,0.00523560209424081
dose3plus,16,0,190,0.0
dose3plus,17,0,190,0.0
dose3plus,18,0,190,0.0
dose3plus,19,0,190,0.0
dose3plus,20,0,190,0.0
dose3plus,21,0,190,0.0
dose3plus,22,2,190,0.010526315789473628
dose3plus,23,1,188,0.005319148936170185
dose3plus,24,0,187,0.0
