cohort,t,deaths,at_risk,hazard,log_hazard,slope,hazard_adj,cum_hazard_adj
dose0_unvaccinated,0,1711,1021171,0.0016755274092194157,-6.391627292090862,-0.0015077322968242177,0.0016755274092194157,0.0016755274092194157
dose0_unvaccinated,1,1625,1019460,0.0015939811272634532,-6.4415205385440215,-0.0015077322968242177,0.0015963862367645734,0.003271913645983989
dose0_unvaccinated,2,1588,1017835,0.001560174291510903,-6.462957738633999,-0.0015077322968242177,0.0015648860423354283,0.004836799688319417
dose0_unvaccinated,3,1258,1016247,0.001237888033125805,-6.694348550549894,-0.0015077322968242177,0.0012434999267098446,0.006080299615029262
dose0_unvaccinated,4,1149,1014989,0.0011320319727602958,-6.78374105511212,-0.0015077322968242177,0.0011388798060688232,0.007219179421098085
dose0_unvaccinated,5,1034,1013840,0.001019884794444883,-6.888065604687571,-0.0015077322968242177,0.0010276024143748245,0.00824678183547291
dose0_unvaccinated,6,1084,1012806,0.0010702938173746995,-6.839822072525526,-0.0015077322968242177,0.0010800200440155415,0.009326801879488452
dose0_unvaccinated,7,1087,1011722,0.0010744058150361463,-6.8359875004130926,-0.0015077322968242177,0.001085805279343557,0.010412607158832007
dose0_unvaccinated,8,1139,1010635,0.0011270142039410866,-6.78818344068441,-0.0015077322968242177,0.0011406904040391875,0.011553297562871196
dose0_unvaccinated,9,1253,1009496,0.0012412134372003455,-6.691665799473508,-0.0015077322968242177,0.001258170988791905,0.0128114685516631
dose0_unvaccinated,10,1099,1008243,0.001090015006303044,-6.821563815585353,-0.0015077322968242177,0.0011065740338063487,0.01391804258546945
dose0_unvaccinated,11,1408,1007144,0.0013980125979998889,-6.572703623766279,-0.0015077322968242177,0.0014213920530746916,0.01533943463854414
dose0_unvaccinated,12,1282,1005736,0.0012746883874098173,-6.665053532274307,-0.0015077322968242177,0.0012979609515395636,0.016637395590083703
dose1,0,269,160887,0.001671980955577517,-6.39374615458933,-0.01871394827953592,0.001671980955577517,0.001671980955577517
dose1,1,219,160618,0.0013634835448081784,-6.597712424098958,-0.01871394827953592,0.0013892399557377233,0.00306122091131524
dose1,2,182,160399,0.0011346704156509704,-6.781413052904357,-0.01871394827953592,0.0011779435014209047,0.004239164412736145
dose1,3,187,160217,0.0011671670297159478,-6.75317580848507,-0.01871394827953592,0.0012345682518766208,0.005473732664612766
dose1,4,127,160030,0.0007936011997750422,-7.138929490181445,-0.01871394827953592,0.0008552868082233002,0.006329019472836066
dose1,5,158,159903,0.000988099035039993,-6.919727627345159,-0.01871394827953592,0.0010850188857201874,0.007414038358556254
dose1,6,143,159745,0.000895176687846255,-7.018489442585515,-0.01871394827953592,0.0010015507272096817,0.008415589085765935
dose1,7,143,159602,0.0008959787471334946,-7.0175938649877425,-0.01871394827953592,0.001021384491915274,0.00943697357768121
dose1,8,149,159459,0.0009344094720272922,-6.975595808926181,-0.01871394827953592,0.0010853158561560904,0.0105222894338373
dose1,9,154,159310,0.000966668759023288,-6.941654666153311,-0.01871394827953592,0.001143994571031659,0.011666284004868958
dose1,10,132,159156,0.0008293749528764232,-7.094838209695983,-0.01871394827953592,0.0010000565536806131,0.012666340558549571
dose1,11,182,159024,0.0011444813361505182,-6.7728037261309915,-0.01871394827953592,0.0014060790061154974,0.014072419564665069
dose1,12,163,158842,0.0010261769557170018,-6.881915075645986,-0.01871394827953592,0.0012845488698898374,0.015356968434554906
dose2,0,1514,1299139,0.0011653872295420275,-6.754701861319435,-0.01696568158243837,0.0011653872295420275,0.0011653872295420275
dose2,1,1261,1297625,0.0009717753588286293,-6.936385892530627,-0.01696568158243837,0.0009884028395800507,0.002153790069122078
dose2,2,1199,1296364,0.0009248945512217247,-6.985830825629408,-0.01696568158243837,0.0009568159904654874,0.0031106060595875655
dose2,3,1020,1295165,0.0007875444441441824,-7.146590751848509,-0.01696568158243837,0.0008286657281694939,0.0039392717877570595
dose2,4,909,1294145,0.0007023942448489157,-7.261015709229161,-0.01696568158243837,0.0007517152347691606,0.00469098702252622
dose2,5,884,1293236,0.000683556597558373,-7.288201099729739,-0.01696568158243837,0.0007440720459854419,0.005435059068511662
dose2,6,841,1292352,0.0006507514980438766,-7.337382712065547,-0.01696568158243837,0.0007204830828253081,0.00615554215133697
dose2,7,881,1291511,0.0006821467258118591,-7.290265782773611,-0.01696568158243837,0.0007681649941970305,0.006923707145534001
dose2,8,863,1290630,0.0006686656903992624,-7.310226338132612,-0.01696568158243837,0.0007658678785025676,0.0076895750240365685
dose2,9,911,1289767,0.000706329127664144,-7.255429242609073,-0.01696568158243837,0.000822848786754447,0.008512423810791016
dose2,10,827,1288856,0.0006416543042822472,-7.351460866149733,-0.01696568158243837,0.0007602949937485494,0.009272718804539564
