cohort,t,deaths,at_risk,hazard
dose0_unvaccinated,0,1711,1021171,0.0016755274092194157
dose0_unvaccinated,1,1625,1019460,0.0015939811272634532
dose0_unvaccinated,2,1588,1017835,0.001560174291510903
dose0_unvaccinated,3,1258,1016247,0.001237888033125805
dose0_unvaccinated,4,1149,1014989,0.0011320319727602958
dose0_unvaccinated,5,1034,1013840,0.001019884794444883
dose0_unvaccinated,6,1084,1012806,0.0010702938173746995
dose0_unvaccinated,7,1087,1011722,0.0010744058150361463
dose0_unvaccinated,8,1139,1010635,0.0011270142039410866
dose0_unvaccinated,9,1253,1009496,0.0012412134372003455
dose0_unvaccinated,10,1099,1008243,0.001090015006303044
dose0_unvaccinated,11,1408,1007144,0.0013980125979998889
dose0_unvaccinated,12,1282,1005736,0.0012746883874098173
dose0_unvaccinated,13,1021,1004454,0.0010164726309019627
dose0_unvaccinated,14,1077,1003433,0.0010733153085457623
dose0_unvaccinated,15,990,1002356,0.0009876730423123122
dose0_unvaccinated,16,910,1001366,0.0009087586357036288
dose0_unvaccinated,17,899,1000456,0.0008985902428492608
dose0_unvaccinated,18,875,999557,0.0008753877967939797
dose1,0,269,160887,0.001671980955577517
dose1,1,219,160618,0.0013634835448081784
dose1,2,182,160399,0.0011346704156509704
dose1,3,187,160217,0.0011671670297159478
dose1,4,127,160030,0.0007936011997750422
dose1,5,158,159903,0.000988099035039993
dose1,6,143,159745,0.000895176687846255
dose1,7,143,159602,0.0008959787471334946
dose1,8,149,159459,0.0009344094720272922
dose1,9,154,159310,0.000966668759023288
dose1,10,132,159156,0.0008293749528764232
dose1,11,182,159024,0.0011444813361505182
dose1,12,163,158842,0.0010261769557170018
dose1,13,127,158679,0.0008003579553690155
dose1,14,142,158552,0.0008956052273071296
dose1,15,113,158410,0.0007133388043684111
dose1,16,136,158297,0.0008591445194792068
dose1,17,100,158161,0.0006322671202129476
dose1,18,97,158061,0.0006136871207951361
dose2,0,1514,1299139,0.0011653872295420275
dose2,1,1261,1297625,0.0009717753588286293
dose2,2,1199,1296364,0.0009248945512217247
dose2,3,1020,1295165,0.0007875444441441824
dose2,4,909,1294145,0.0007023942448489157
dose2,5,884,1293236,0.000683556597558373
dose2,6,841,1292352,0.0006507514980438766
dose2,7,881,1291511,0.0006821467258118591
dose2,8,863,1290630,0.0006686656903992624
dose2,9,911,1289767,0.000706329127664144
dose2,10,827,1288856,0.0006416543042822472
dose2,11,1106,1288029,0.0008586763186232609
dose2,12,1020,1286923,0.0007925882123483689
dose2,13,752,1285903,0.0005848030527963617
dose2,14,835,1285151,0.0006497290979814823
dose2,15,779,1284316,0.0006065485441277691
dose2,16,711,1283537,0.0005539380633359226
dose2,17,741,1282826,0.0005776309491700355
dose2,18,727,1282085,0.0005670450867142194
dose3,0,1781,1972149,0.0009030757817994482
dose3,1,2019,1970368,0.0010246816838275895
dose3,2,2276,1968349,0.0011562990099824777
dose3,3,2405,1966073,0.0012232506117524629
dose3,4,2249,1963668,0.001145305621927943
dose3,5,2126,1961419,0.0010839091494474155
dose3,6,2441,1959293,0.0012458575618858436
dose3,7,2472,1956852,0.0012632534294877691
dose3,8,2448,1954380,0.0012525711478832162
dose3,9,2711,1951932,0.0013888803503400732
dose3,10,2602,1949221,0.0013348922466975268
dose3,11,3372,1946619,0.0017322341968305046
dose3,12,3257,1943247,0.0016760607375181848
dose3,13,2473,1939990,0.0012747488389115407
dose3,14,2829,1937517,0.001460116220915739
dose3,15,2508,1934688,0.0012963330521510445
dose3,16,2439,1932180,0.0012623047542154459
dose3,17,2281,1929741,0.001182023908907983
dose3,18,2377,1927460,0.0012332292239527669
dose4,0,0,280,0.0
dose4,1,1,280,0.0035714285714285583
dose4,2,3,279,0.010752688172042972
dose4,3,0,276,0.0
dose4,4,1,276,0.003623188405797088
dose4,5,0,275,0.0
dose4,6,0,275,0.0
dose4,7,1,275,0.003636363636363623
dose4,8,0,274,0.0
dose4,9,1,274,0.003649635036496337
dose4,10,1,273,0.003663003663003649
dose4,11,0,272,0.0
dose4,12,1,272,0.00367647058823528
dose4,13,0,271,0.0
dose4,14,0,271,0.0
dose4,15,0,271,0.0
dose4,16,2,271,0.007380073800737979
dose4,17,1,269,0.0037174721189590938
dose4,18,0,268,0.0
dose5,0,0,25,0.0
dose5,1,0,25,0.0
dose5,2,0,25,0.0
dose5,3,1,25,0.039999999999998405
dose5,4,0,24,0.0
dose5,5,0,24,0.0
dose5,6,0,24,0.0
dose5,7,0,24,0.0
dose5,8,0,24,0.0
dose5,9,0,24,0.0
dose5,10,0,24,0.0
dose5,11,0,24,0.0
dose5,12,0,24,0.0
dose5,13,0,24,0.0
dose5,14,0,24,0.0
dose5,15,0,24,0.0
dose5,16,0,24,0.0
dose5,17,0,24,0.0
dose5,18,0,24,0.0
dose6,0,0,4,0.0
dose6,1,0,4,0.0
dose6,2,0,4,0.0
dose6,3,0,4,0.0
dose6,4,0,4,0.0
dose6,5,0,4,0.0
dose6,6,0,4,0.0
dose6,7,0,4,0.0
dose6,8,0,4,0.0
dose6,9,0,4,0.0
dose6,10,0,4,0.0
dose6,11,0,4,0.0
dose6,12,0,4,0.0
dose6,13,0,4,0.0
dose6,14,0,4,0.0
dose6,15,0,4,0.0
dose6,16,0,4,0.0
dose6,17,0,4,0.0
dose6,18,0,4,0.0
