t,cum_vax,cum_ref,cohort,kcor_ratio
0,0.001671980955577517,0.0016755274092194157,dose1,0.9978833801104846
1,0.00306122091131524,0.003271913645983989,dose1,0.9356056551605625
2,0.004239164412736145,0.004836799688319417,dose1,0.8764399365342819
3,0.005473732664612766,0.006080299615029262,dose1,0.9002406148181535
4,0.006329019472836066,0.007219179421098085,dose1,0.8766951342783893
5,0.007414038358556254,0.00824678183547291,dose1,0.8990220070775129
6,0.008415589085765935,0.009326801879488452,dose1,0.9023016885746483
7,0.00943697357768121,0.010412607158832007,dose1,0.9063026610746987
8,0.0105222894338373,0.011553297562871196,dose1,0.9107607049559594
9,0.011666284004868958,0.0128114685516631,dose1,0.9106125466345468
10,0.012666340558549571,0.01391804258546945,dose1,0.9100662309269888
11,0.014072419564665069,0.01533943463854414,dose1,0.9174014489678268
12,0.015356968434554906,0.016637395590083703,dose1,0.9230392070971132
13,0.01637776688993187,0.017673988149365365,dose1,0.9266593793429301
14,0.017541624156180602,0.01877020007169319,dose1,0.9345464666463564
15,0.018486133626016657,0.019780464816034758,dose1,0.9345651781699572
16,0.019645188654906585,0.020711412654601555,dose1,0.9485199769603064
17,0.020514280738072065,0.021633332779575076,dose1,0.9482718611203621
18,0.021373768247243637,0.0225328031977223,dose1,0.9485623274984097
19,0.02234036555273377,0.023462241384185865,dose1,0.9521837741742589
20,0.023436415652321196,0.024371199504870305,dose1,0.9616439127945284
21,0.024676103246454174,0.025374481404644746,dose1,0.9724771455216732
22,0.025796611689367897,0.026468480483010585,dose1,0.9746162687711311
23,0.027202794062291105,0.02772034298928143,dose1,0.9813296347678031
24,0.027202794062291105,0.02772034298928143,dose1,0.9813296347678031
0,0.0011653872295420275,0.0016755274092194157,dose2,0.6955345656741099
1,0.002153790069122078,0.003271913645983989,dose2,0.6582661712687362
2,0.0031106060595875655,0.004836799688319417,dose2,0.6431124419843933
3,0.0039392717877570595,0.006080299615029262,dose2,0.6478746174566969
4,0.00469098702252622,0.007219179421098085,dose2,0.6497950457038086
5,0.005435059068511662,0.00824678183547291,dose2,0.659052121940963
6,0.00615554215133697,0.009326801879488452,dose2,0.6599842293438529
7,0.006923707145534001,0.010412607158832007,dose2,0.6649350195638903
8,0.0076895750240365685,0.011553297562871196,dose2,0.6655740477145644
9,0.008512423810791016,0.0128114685516631,dose2,0.6644377868001363
10,0.009272718804539564,0.01391804258546945,dose2,0.6662372777587361
11,0.010307571669910962,0.01533943463854414,dose2,0.6719655523247683
12,0.011279120944363726,0.016637395590083703,dose2,0.6779378949436307
13,0.01200823413566741,0.017673988149365365,dose2,0.6794297944247049
14,0.012832155460545317,0.01877020007169319,dose2,0.6836451082486588
15,0.013614480252031871,0.019780464816034758,dose2,0.688279086359346
16,0.01434117302079322,0.020711412654601555,dose2,0.6924285300700889
17,0.015111913531868153,0.021633332779575076,dose2,0.6985476387363388
18,0.015881475197287047,0.0225328031977223,dose2,0.7048157771238862
19,0.016650644003518327,0.023462241384185865,dose2,0.709678318032803
20,0.017374209008710728,0.024371199504870305,dose2,0.7128992155074597
21,0.018251105121440677,0.025374481404644746,dose2,0.7192700741218137
22,0.019157178480658583,0.026468480483010585,dose2,0.7237732627768827
23,0.020194888280802993,0.02772034298928143,dose2,0.7285223089729874
24,0.020194888280802993,0.02772034298928143,dose2,0.7285223089729874
0,0.0009030757817994482,0.0016755274092194157,dose3,0.538980010885759
1,0.0019033716120137557,0.003271913645983989,dose3,0.5817303930891516
2,0.0030052892231450506,0.004836799688319417,dose3,0.6213383675535098
3,0.00414326730433307,0.006080299615029262,dose3,0.6814248583096681
4,0.0051833774511875,0.007219179421098085,dose3,0.718000917849618
5,0.006144304255942513,0.00824678183547291,dose3,0.7450547835239434
6,0.007222519092409487,0.009326801879488452,dose3,0.7743832435766544
7,0.008289770858314801,0.010412607158832007,dose3,0.7961282636584692
8,0.009322813586846163,0.011553297562871196,dose3,0.806939623540895
9,0.010441015420486699,0.0128114685516631,dose3,0.8149741286541534
10,0.011490173820735871,0.01391804258546945,dose3,0.8255596107965747
11,0.012819222673018627,0.01533943463854414,dose3,0.8357037253492668
12,0.014074569053149025,0.016637395590083703,dose3,0.8459598725110471
13,0.015006616309092488,0.017673988149365365,dose3,0.8490792333581069
14,0.016048790270049837,0.01877020007169319,dose3,0.8550143423030185
15,0.016952042144834388,0.019780464816034758,dose3,0.8570092918259152
16,0.01781065222038006,0.020711412654601555,dose3,0.8599438636341901
17,0.018595521821880266,0.021633332779575076,dose3,0.859577301865272
18,0.01939490414539421,0.0225328031977223,dose3,0.8607408485462643
19,0.020215012637877512,0.023462241384185865,dose3,0.8615976754310156
20,0.02096619949833695,0.024371199504870305,dose3,0.860285908097663
21,0.021804974160287115,0.025374481404644746,dose3,0.859326888762993
22,0.022635979212947726,0.026468480483010585,dose3,0.8552050891860588
23,0.023558491741795765,0.02772034298928143,dose3,0.8498629237760593
24,0.023558491741795765,0.02772034298928143,dose3,0.8498629237760593
0,0.0,0.0016755274092194157,dose4,0.0
1,0.0035652405827343004,0.003271913645983989,dose4,1.0896499624984592
2,0.014280700027482815,0.004836799688319417,dose4,2.952510119246274
3,0.014280700027482815,0.006080299615029262,dose4,2.348683605958356
4,0.01787884294070066,0.007219179421098085,dose4,2.476575507456302
5,0.01787884294070066,0.00824678183547291,dose4,2.167978163509575
6,0.01787884294070066,0.009326801879488452,dose4,1.916931781096687
7,0.021471331679110667,0.010412607158832007,dose4,2.062051448741784
8,0.021471331679110667,0.011553297562871196,dose4,1.8584591594225506
9,0.025064448123630532,0.0128114685516631,dose4,1.9564071066950732
10,0.028664477796675532,0.01391804258546945,dose4,2.0595193338854965
11,0.028664477796675532,0.01533943463854414,dose4,1.868678896598981
12,0.032265232767734776,0.016637395590083703,dose4,1.9393199248701118
13,0.032265232767734776,0.017673988149365365,dose4,1.8255773678940583
14,0.032265232767734776,0.01877020007169319,dose4,1.7189605141542474
15,0.032265232767734776,0.019780464816034758,dose4,1.6311665608559538
16,0.03944335201372715,0.020711412654601555,dose4,1.9044259640618675
17,0.04305283132350813,0.021633332779575076,dose4,1.9901155203495031
