t,cum_vax,cum_ref,cohort,kcor_ratio
0,0.001671980955577517,0.0016755274092194157,dose1,0.9978833801104846
1,0.0029980030236964475,0.0032126246124770694,dose1,0.933194314430551
2,0.004071180213330123,0.004663430909766382,dose1,0.8730010782257029
3,0.005144763058797861,0.005773463772975688,dose1,0.8911051078190284
4,0.005854677022810192,0.006752347981341018,dose1,0.8670579534884092
5,0.0067142934952068205,0.007602784504959929,dose1,0.8831361049288443
6,0.007471673557751059,0.008463405547688803,dose1,0.8828211663458111
7,0.008208904685012336,0.009296502319252388,dose1,0.8830100184162031
8,0.008956633364311605,0.010139205529129072,dose1,0.8833663877999707
9,0.009708923453227233,0.011034178428099648,dose1,0.8798954553446937
10,0.010336633996542308,0.011792082168135407,dose1,0.876574115434627
11,0.011179033443957974,0.012729451662062073,dose1,0.8782022776673833
12,0.01191360222509126,0.013553631369337262,dose1,0.8789970672483184
0,0.0011653872295420275,0.0016755274092194157,dose2,0.6955345656741099
1,0.0021027142608394896,0.0032126246124770694,dose2,0.6545160153534689
2,0.0029631981417275167,0.004663430909766382,dose2,0.6354116096984374
3,0.003669923784616349,0.005773463772975688,dose2,0.635653730289051
4,0.004277893548632178,0.006752347981341018,dose2,0.6335416302329024
5,0.004848584222265381,0.007602784504959929,dose2,0.6377379522547966
6,0.005372626989858557,0.008463405547688803,dose2,0.6348067523115342
7,0.005902479032776088,0.009296502319252388,dose2,0.6349139525214299
8,0.006403448333569688,0.010139205529129072,dose2,0.6315532626833112
9,0.006913876285002042,0.011034178428099648,dose2,0.6265873195206425
10,0.007361129739493461,0.011792082168135407,dose2,0.6242434231641024
11,0.007938437421613005,0.012729451662062073,dose2,0.6236276024872709
12,0.008452422746264563,0.013553631369337262,dose2,0.6236279057111642
0,0.0009029343083604315,0.0016755274092194157,dose3plus,0.5388955757173732
1,0.0018715346345634619,0.0032126246124770694,dose3plus,0.5825562771051154
2,0.0029052278091338036,0.004663430909766382,dose3plus,0.6229807763264069
3,0.003937643709811466,0.005773463772975688,dose3plus,0.6820244941278897
4,0.004851087828817188,0.006752347981341018,dose3plus,0.718429773095807
5,0.005667612374791929,0.007602784504959929,dose3plus,0.745465345012608
6,0.006554468912250986,0.008463405547688803,dose3plus,0.77444816682174
7,0.007404548759998703,0.009296502319252388,dose3plus,0.796487593389605
8,0.00820071693796231,0.010139205529129072,dose3plus,0.8088125754620061
9,0.009035235532578612,0.011034178428099648,dose3plus,0.818840803656993
10,0.009793172207288968,0.011792082168135407,dose3plus,0.8304871070964561
11,0.010722214032756056,0.012729451662062073,dose3plus,0.8423154678272154
12,0.011571903638964182,0.013553631369337262,dose3plus,0.8537862158690414
