rel_week,event_0,event_1,event_2,event_3,event_4,mean_across_events
-6,41319.0,3781.0,2071.0,6690.0,106.0,10793.4
-5,56554.0,10485.0,5563.0,10239.0,24819.0,21532.0
-4,79043.0,25269.0,13341.0,25936.0,26988.0,34115.4
-3,91647.0,62837.0,34283.0,45426.0,31508.0,53140.2
-2,121797.0,78547.0,55101.0,52330.0,31412.0,67837.4
-1,126955.0,98099.0,64491.0,58112.0,38848.0,77301.0
0,130666.0,90929.0,68331.0,61234.0,34784.0,77188.8
1,128383.0,84273.0,66390.0,58099.0,35222.0,74473.4
2,96618.0,53659.0,39004.0,50193.0,31156.0,54126.0
3,116622.0,38879.0,38361.0,17735.0,20321.0,46383.6
4,71751.0,24654.0,41485.0,10713.0,11073.0,31935.2
5,37853.0,19125.0,28461.0,21879.0,6341.0,22731.8
6,60135.0,13279.0,19527.0,22410.0,7398.0,24549.8
7,35558.0,10049.0,15091.0,16585.0,4469.0,16350.4
8,22068.0,7940.0,6786.0,10245.0,2282.0,9864.2
