,dose_1,dose_2,dose_3,dose_4,dose_5,dose_6
2021-01-04,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-08,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-15,12.0,0.0,0.0,0.0,0.0,0.0
2021-02-22,85.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,133.0,0.0,0.0,0.0,0.0,0.0
2021-03-08,591.0,11.0,0.0,0.0,0.0,0.0
2021-03-15,456.0,83.0,0.0,0.0,0.0,0.0
2021-03-22,240.0,131.0,0.0,0.0,0.0,0.0
2021-03-29,316.0,495.0,0.0,0.0,0.0,0.0
2021-04-05,452.0,464.0,0.0,0.0,0.0,0.0
2021-04-12,1005.0,237.0,0.0,0.0,0.0,0.0
2021-04-19,5703.0,350.0,0.0,0.0,0.0,0.0
2021-04-26,5124.0,449.0,0.0,0.0,0.0,0.0
2021-05-03,2046.0,651.0,0.0,0.0,0.0,0.0
2021-05-10,5781.0,5653.0,0.0,0.0,0.0,0.0
2021-05-17,20317.0,5175.0,0.0,0.0,0.0,0.0
2021-05-24,39067.0,2252.0,0.0,0.0,0.0,0.0
2021-05-31,51009.0,5545.0,0.0,0.0,0.0,0.0
2021-06-07,59459.0,19584.0,0.0,0.0,0.0,0.0
2021-06-14,54188.0,37459.0,0.0,0.0,0.0,0.0
2021-06-21,74760.0,47037.0,0.0,0.0,0.0,0.0
2021-06-28,69846.0,57109.0,0.0,0.0,0.0,0.0
2021-07-05,74254.0,56412.0,0.0,0.0,0.0,0.0
2021-07-12,53463.0,74920.0,0.0,0.0,0.0,0.0
2021-07-19,30997.0,65621.0,0.0,0.0,0.0,0.0
2021-07-26,39250.0,77372.0,0.0,0.0,0.0,0.0
2021-08-02,19965.0,51786.0,0.0,0.0,0.0,0.0
