,weekly_rollout_total
2021-01-04,0.0
2021-01-11,0.0
2021-01-18,0.0
2021-01-25,0.0
2021-02-01,0.0
2021-02-08,0.0
2021-02-15,12.0
2021-02-22,85.0
2021-03-01,133.0
2021-03-08,602.0
2021-03-15,539.0
2021-03-22,371.0
2021-03-29,811.0
2021-04-05,916.0
2021-04-12,1242.0
2021-04-19,6053.0
2021-04-26,5573.0
2021-05-03,2697.0
2021-05-10,11434.0
2021-05-17,25492.0
2021-05-24,41319.0
2021-05-31,56554.0
2021-06-07,79043.0
2021-06-14,91647.0
2021-06-21,121797.0
2021-06-28,126955.0
2021-07-05,130666.0
2021-07-12,128383.0
2021-07-19,96618.0
2021-07-26,116622.0
2021-08-02,71751.0
2021-08-09,37853.0
2021-08-16,60135.0
2021-08-23,35558.0
2021-08-30,22068.0
2021-09-06,23910.0
2021-09-13,20507.0
2021-09-20,11393.0
2021-09-27,12956.0
2021-10-04,10608.0
2021-10-11,7317.0
2021-10-18,5425.0
2021-10-25,4541.0
2021-11-01,3518.0
2021-11-08,1764.0
2021-11-15,1278.0
2021-11-22,817.0
2021-11-29,891.0
2021-12-06,499.0
2021-12-13,1107.0
2021-12-20,1389.0
2021-12-27,1302.0
2022-01-03,1879.0
2022-01-10,3781.0
2022-01-17,10485.0
2022-01-24,25269.0
2022-01-31,62837.0
2022-02-07,78547.0
2022-02-14,98099.0
2022-02-21,90929.0
2022-02-28,84273.0
2022-03-07,53659.0
2022-03-14,38879.0
2022-03-21,24654.0
2022-03-28,19125.0
2022-04-04,13279.0
2022-04-11,10049.0
2022-04-18,7940.0
2022-04-25,5127.0
2022-05-02,2564.0
2022-05-09,3761.0
2022-05-16,3050.0
2022-05-23,2289.0
2022-05-30,1609.0
2022-06-06,1746.0
2022-06-13,2071.0
2022-06-20,5563.0
2022-06-27,13341.0
2022-07-04,34283.0
2022-07-11,55101.0
2022-07-18,64491.0
2022-07-25,68331.0
2022-08-01,66390.0
2022-08-08,39004.0
2022-08-15,38361.0
2022-08-22,41485.0
2022-08-29,28461.0
2022-09-05,19527.0
2022-09-12,15091.0
2022-09-19,6786.0
2022-09-26,9359.0
2022-10-03,6470.0
2022-10-10,7283.0
2022-10-17,7375.0
2022-10-24,6690.0
2022-10-31,10239.0
2022-11-07,25936.0
2022-11-14,45426.0
2022-11-21,52330.0
2022-11-28,58112.0
2022-12-05,61234.0
2022-12-12,58099.0
2022-12-19,50193.0
2022-12-26,17735.0
2023-01-02,10713.0
2023-01-09,21879.0
2023-01-16,22410.0
2023-01-23,16585.0
2023-01-30,10245.0
2023-02-06,6560.0
2023-02-13,5427.0
2023-02-20,3501.0
2023-02-27,2185.0
2023-03-06,1891.0
2023-03-13,1513.0
2023-03-20,1200.0
2023-03-27,630.0
2023-04-03,237.0
2023-04-10,213.0
2023-04-17,286.0
2023-04-24,227.0
2023-05-01,106.0
2023-05-08,24819.0
2023-05-15,26988.0
2023-05-22,31508.0
2023-05-29,31412.0
2023-06-05,38848.0
2023-06-12,34784.0
2023-06-19,35222.0
2023-06-26,31156.0
2023-07-03,20321.0
2023-07-10,11073.0
2023-07-17,6341.0
2023-07-24,7398.0
2023-07-31,4469.0
2023-08-07,2282.0
2023-08-14,2104.0
2023-08-21,2403.0
2023-08-28,1443.0
2023-09-04,789.0
2023-09-11,503.0
2023-09-18,2545.0
2023-09-25,5791.0
2023-10-02,7910.0
2023-10-09,7364.0
2023-10-16,8884.0
2023-10-23,8489.0
2023-10-30,6157.0
2023-11-06,6659.0
2023-11-13,5726.0
2023-11-20,5108.0
2023-11-27,4399.0
2023-12-04,3431.0
2023-12-11,3174.0
2023-12-18,2223.0
2023-12-25,722.0
2024-01-01,217.0
2024-01-08,561.0
2024-01-15,908.0
2024-01-22,703.0
2024-01-29,651.0
2024-02-05,576.0
2024-02-12,571.0
2024-02-19,449.0
2024-02-26,588.0
2024-03-04,461.0
2024-03-11,552.0
2024-03-18,488.0
2024-03-25,602.0
2024-04-01,0.0
2024-04-08,0.0
2024-04-15,0.0
2024-04-22,0.0
2024-04-29,0.0
2024-05-06,0.0
2024-05-13,0.0
2024-05-20,0.0
2024-05-27,0.0
2024-06-03,0.0
2024-06-10,0.0
2024-06-17,0.0
2024-06-24,0.0
2024-07-01,0.0
2024-07-08,0.0
2024-07-15,0.0
2024-07-22,0.0
2024-07-29,0.0
2024-08-05,0.0
2024-08-12,0.0
2024-08-19,0.0
2024-08-26,0.0
2024-09-02,0.0
2024-09-09,0.0
2024-09-16,0.0
2024-09-23,0.0
2024-09-30,0.0
2024-10-07,0.0
2024-10-14,0.0
2024-10-21,0.0
2024-10-28,0.0
2024-11-04,0.0
2024-11-11,0.0
2024-11-18,0.0
2024-11-25,0.0
2024-12-02,0.0
2024-12-09,0.0
2024-12-16,0.0
2024-12-23,0.0
2024-12-30,0.0
2025-01-06,0.0
2025-01-13,0.0
2025-01-20,0.0
2025-01-27,0.0
2025-02-03,0.0
2025-02-10,0.0
2025-02-17,0.0
2025-02-24,0.0
2025-03-03,0.0
2025-03-10,1.0
2025-03-17,0.0
2025-03-24,0.0
2025-03-31,0.0
