country,wave,r2_fit,fit_tier,week_start,week_end,n_weekly_observations,n_week_intervals,span_calendar_days,slope_ols_deaths_per_million_per_week,slope_secant_delta_over_n_minus_1,delta_cumulative
Afghanistan,1,0.9963355041398901,primary,2020-06-07,2020-07-26,8,7,49,3.3201547619047616,3.2354285714285713,22.648
Afghanistan,2,0.9951907797830043,primary,2020-11-29,2021-01-03,6,5,35,2.3362,2.3116,11.558
Afghanistan,3,0.9979322843528899,primary,2021-06-20,2021-07-18,5,4,28,12.627300000000002,12.475750000000001,49.903000000000006
Africa,1,0.9970462010287053,primary,2020-06-21,2020-09-06,12,11,77,1.5584685314685311,1.499272727272727,16.491999999999997
Africa,2,0.995899275253691,primary,2020-11-22,2020-12-20,5,4,28,1.5943000000000005,1.606250000000001,6.425000000000004
Africa,3,0.9948040495638604,primary,2020-12-27,2021-01-24,5,4,28,3.8863,3.8465000000000007,15.386000000000003
Africa,4,0.993463635812637,primary,2021-01-31,2021-07-04,23,22,154,1.5567332015810276,1.7505454545454546,38.512
Africa,5,0.9946164282416919,primary,2021-07-11,2021-09-12,10,9,63,4.11120606060606,3.9934444444444446,35.941
Africa,6,0.9931773829270171,primary,2021-09-19,2021-10-10,4,3,21,1.6455000000000013,1.6430000000000007,4.929000000000002
Africa,7,0.9966184221585317,primary,2022-01-09,2022-03-06,9,8,56,1.7203833333333336,1.6694999999999993,13.355999999999995
Albania,1,0.997536298466189,primary,2020-08-02,2020-09-20,8,7,49,9.910702380952381,9.902285714285714,69.316
Albania,2,0.992203969912959,primary,2020-11-15,2021-01-03,8,7,49,31.024857142857144,29.35342857142857,205.474
Albania,3,0.9948467144619357,primary,2021-01-31,2021-03-28,9,8,56,39.126066666666674,36.868625,294.949
Albania,4,0.9924676577389664,primary,2021-10-03,2021-12-12,11,10,70,15.306845454545464,15.030300000000011,150.3030000000001
Albania,5,0.9943918387999736,primary,2022-01-16,2022-02-27,7,6,42,11.986357142857132,11.670666666666648,70.02399999999989
Algeria,1,0.998481574531776,primary,2020-06-21,2020-09-20,14,13,91,1.4660219780219779,1.4174615384615383,18.427
Algeria,2,0.9937010020316817,primary,2020-11-01,2020-12-20,8,7,49,2.310476190476191,2.1832857142857143,15.283000000000001
Algeria,3,0.9953885827916862,primary,2021-06-20,2021-07-11,4,3,21,1.4513999999999996,1.4659999999999986,4.397999999999996
Algeria,4,0.9931325188318401,primary,2021-07-18,2021-09-19,10,9,63,4.566230303030304,4.270666666666667,38.43600000000001
Algeria,5,0.9942179222772378,primary,2022-01-16,2022-02-27,7,6,42,1.6052857142857135,1.5539999999999974,9.323999999999984
Andorra,1,0.9925558901662818,primary,2020-04-19,2020-05-17,5,4,28,50.174199999999985,50.17424999999999,200.69699999999995
Andorra,2,0.9952231320603226,primary,2021-01-10,2021-02-07,5,4,28,62.71800000000003,62.71800000000002,250.87200000000007
Andorra,3,0.9925804768108076,primary,2021-12-26,2022-02-27,10,9,63,17.40897575757576,16.724777777777792,150.52300000000014
Angola,1,0.9926635358736562,primary,2021-08-22,2021-10-17,9,8,56,1.9447833333333335,1.8311250000000001,14.649000000000001
Argentina,1,0.992282077290343,primary,2020-07-12,2020-12-06,22,21,147,45.51,41.30495238095238,867.404
Argentina,2,0.9939683068425791,primary,2021-01-17,2021-03-07,8,7,49,20.89179761904764,21.349285714285738,149.44500000000016
Argentina,3,0.9925733432453254,primary,2021-04-11,2021-07-11,14,13,91,75.39982197802196,71.39046153846154,928.076
Armenia,1,0.995219882367822,primary,2020-05-31,2020-08-09,11,10,70,23.80900909090909,22.9097,229.097
Armenia,2,0.9925964767587365,primary,2020-10-11,2021-01-03,13,12,84,58.164769230769224,52.93516666666667,635.222
Armenia,3,0.9932433455505786,primary,2021-03-14,2021-05-23,11,10,70,41.881099999999996,39.46709999999998,394.6709999999998
Armenia,4,0.9933864654388342,primary,2021-10-03,2021-12-05,10,9,63,95.51990303030306,89.13155555555555,802.184
Australia,1,0.9968817971125545,primary,2020-08-02,2020-08-30,5,4,28,4.4350000000000005,4.3415,17.366
Australia,2,0.9935265189388078,primary,2022-01-16,2022-02-13,5,4,28,22.689799999999998,22.394,89.576
Austria,1,0.9921929254178352,primary,2020-11-01,2021-01-10,11,10,70,79.92362727272727,73.6485,736.485
Austria,2,0.9932993764037527,primary,2021-01-17,2021-02-14,5,4,28,38.19229999999999,37.97725,151.909
Austria,3,0.9956847290725096,primary,2021-03-21,2021-05-09,8,7,49,25.205130952380962,24.601000000000017,172.2070000000001
Austria,4,0.9950791459143065,primary,2021-11-07,2021-12-19,7,6,42,45.76235714285714,43.55733333333334,261.34400000000005
Austria,5,0.9933879862671137,primary,2022-01-30,2022-03-27,9,8,56,22.760483333333323,22.68424999999999,181.47399999999993
Azerbaijan,1,0.9923837921699931,primary,2020-06-07,2020-08-16,11,10,70,4.447727272727273,4.0989,40.989000000000004
Azerbaijan,2,0.9974783461142326,primary,2020-08-23,2020-09-27,6,5,35,1.3987999999999994,1.3793999999999997,6.8969999999999985
Azerbaijan,3,0.992886620559047,primary,2020-11-15,2021-01-17,10,9,63,24.028036363636364,22.189222222222227,199.70300000000003
Azerbaijan,4,0.9990900879153605,primary,2021-04-04,2021-05-02,5,4,28,21.7866,21.61175,86.447
Azerbaijan,5,0.9941466081300544,primary,2021-08-22,2021-09-26,6,5,35,23.047971428571415,22.417999999999985,112.08999999999992
Azerbaijan,6,0.9926835696983265,primary,2021-10-31,2021-12-19,8,7,49,16.02554761904761,15.721428571428564,110.04999999999995
Azerbaijan,7,0.9967703836936255,primary,2022-01-30,2022-03-06,6,5,35,16.040714285714284,15.541200000000003,77.70600000000002
Bahamas,1,0.9929173938499931,primary,2020-08-23,2020-11-15,13,12,84,27.504054945054946,26.831416666666666,321.977
Bahamas,2,0.9929162122009036,primary,2021-05-23,2021-07-11,8,7,49,10.42115476190476,10.421142857142854,72.94799999999998
Bahamas,3,0.9921657562839232,primary,2021-09-05,2021-10-17,7,6,42,83.9977857142857,84.68649999999998,508.1189999999999
Bahrain,1,0.9930214927575062,primary,2020-06-21,2020-08-09,8,7,49,9.277214285714285,9.409142857142857,65.864
Bahrain,2,0.9923290905711705,primary,2020-09-27,2020-11-01,6,5,35,11.030199999999997,10.694799999999997,53.47399999999999
Bahrain,3,0.992100115719286,primary,2021-05-23,2021-06-20,5,4,28,81.05859999999998,79.55874999999997,318.2349999999999
Bangladesh,1,0.9978231673905443,primary,2020-06-14,2020-10-04,17,16,112,1.560325980392157,1.54125,24.66
Bangladesh,2,0.9968020767310345,primary,2020-12-06,2020-12-27,4,3,21,1.2218000000000004,1.2080000000000009,3.6240000000000023
Bangladesh,3,0.9938784585356244,primary,2021-07-25,2021-08-22,5,4,28,9.018000000000004,8.867500000000003,35.47000000000001
Barbados,1,1.0,primary,2020-04-12,2020-05-03,4,3,21,3.5420000000000003,3.5420000000000003,10.626000000000001
Barbados,2,0.9943327325664727,primary,2021-09-26,2021-12-12,12,11,77,63.484062937062944,60.53645454545454,665.901
Belarus,1,0.9993699778946652,primary,2021-08-29,2022-03-20,30,29,203,11.580853170189098,11.168137931034483,323.87600000000003
Belgium,1,0.9952595653950758,primary,2020-03-29,2020-04-26,5,4,28,142.22859999999997,137.4355,549.742
Belgium,2,0.9924262913551885,primary,2020-10-25,2020-12-06,7,6,42,98.42596428571427,94.07183333333334,564.431
Belgium,3,0.9942432097774635,primary,2021-03-21,2021-05-23,10,9,63,21.333236363636377,20.10000000000001,180.9000000000001
Belgium,4,0.9924249914051926,primary,2021-10-31,2022-03-27,22,21,147,19.270111801242237,18.562000000000005,389.80200000000013
Belize,1,0.9930778764292537,primary,2020-11-08,2021-01-10,10,9,63,57.57515757575757,56.281,506.529
Belize,2,0.9924764256671988,primary,2021-09-12,2021-12-12,14,13,91,43.80966373626374,40.68269230769231,528.875
Bolivia,1,0.9985657863959593,primary,2020-07-12,2020-09-06,9,8,56,38.23061666666668,37.684875000000005,301.47900000000004
Bolivia,2,0.9931935866490876,primary,2020-09-13,2020-10-18,6,5,35,19.697171428571416,19.689999999999987,98.44999999999993
Bolivia,3,0.995135406303709,primary,2021-01-17,2021-02-21,6,5,35,31.379199999999987,30.12299999999998,150.6149999999999
Bolivia,4,0.9905863399144895,fallback≥0.99,2021-02-28,2021-03-28,5,4,28,10.9298,11.054000000000002,44.21600000000001
Bolivia,5,0.9944583170757181,primary,2021-05-09,2021-07-11,10,9,63,39.40472121212121,36.71766666666667,330.45900000000006
Bolivia,6,0.9921209408203268,primary,2022-01-02,2022-02-06,6,5,35,24.459371428571448,23.548600000000032,117.74300000000017
Bosnia and Herzegovina,1,0.9969734855763376,primary,2020-07-26,2020-09-13,8,7,49,18.68842857142857,18.053285714285714,126.37299999999999
Bosnia and Herzegovina,2,0.9988912213314505,primary,2020-09-20,2020-10-18,5,4,28,17.4737,17.473750000000003,69.89500000000001
Bosnia and Herzegovina,3,0.9935619733123422,primary,2020-10-25,2021-01-10,12,11,77,98.99032867132867,91.73718181818184,1009.1090000000002
Bosnia and Herzegovina,4,0.9927215824349404,primary,2021-03-07,2021-05-02,9,8,56,137.9698833333333,129.259,1034.072
Bosnia and Herzegovina,5,0.9971898085589209,primary,2021-08-29,2022-03-13,29,28,196,68.17672167487686,65.00285714285714,1820.08
Botswana,1,0.9934524299468959,primary,2021-01-31,2021-04-18,12,11,77,21.848356643356645,20.306363636363635,223.36999999999998
Botswana,2,0.9971581188800401,primary,2021-07-18,2021-08-22,6,5,35,71.05680000000001,69.10120000000002,345.5060000000001
Brazil,1,0.992543927964407,primary,2020-05-03,2020-11-01,27,26,182,30.131771672771674,28.008230769230767,728.2139999999999
Brazil,2,0.9931076797181069,primary,2020-11-22,2020-12-20,5,4,28,20.22629999999999,20.252749999999992,81.01099999999997
Brazil,3,0.9999872486365454,primary,2021-01-24,2021-02-21,5,4,28,35.123699999999985,35.09424999999999,140.37699999999995
