country,wave,search_start,search_end,segment_start,segment_end,peak_week,n_weeks,slope_deaths_per_million_per_week,intercept,r2,delta_cum_over_segment,status
Afghanistan,first_wave_2020,2020-02-15,2020-10-15,2020-05-17,2020-08-23,2020-07-19,15,2.5129107142857143,2.41995833333333,0.9722439445884478,30.361,ok
Afghanistan,alpha_winter_2020_21,2020-10-01,2021-05-31,2020-11-01,2021-02-07,2020-12-20,15,1.7767964285714288,37.154824999999995,0.9752766415762038,21.539,ok
Afghanistan,delta_2021,2021-05-01,2021-11-30,2021-06-06,2021-08-15,2021-07-04,11,10.136709090909092,82.84990909090911,0.9679274329323944,95.51799999999999,ok
Afghanistan,omicron_ba1_2021_22,2021-11-15,2022-04-30,2021-12-26,2022-03-27,2022-02-27,14,0.696443956043956,180.05739999999997,0.9438702240883088,7.590000000000003,ok
Albania,first_wave_2020,2020-02-15,2020-10-15,2020-04-12,2020-10-11,2020-08-16,27,5.681362637362637,-21.150047619047612,0.8812344224357732,137.926,ok
Albania,alpha_winter_2020_21,2020-10-01,2021-05-31,2020-10-25,2021-05-02,2021-03-14,28,27.269468527640935,139.49603201970456,0.9892993040765087,680.786,ok
Albania,delta_2021,2021-05-01,2021-11-30,2021-05-02,2021-11-28,2021-10-17,31,7.253058467741933,808.4026068548388,0.7732402160070867,241.54599999999994,ok
Albania,omicron_ba1_2021_22,2021-11-15,2022-04-30,2021-11-21,2022-03-13,2021-11-28,17,10.334857843137254,1075.2497254901962,0.9947632012012861,161.26600000000008,ok
Algeria,first_wave_2020,2020-02-15,2020-10-15,2020-04-05,2020-10-11,2020-04-19,28,1.3364277504105093,3.9361896551724094,0.996176970792231,36.611,ok
Algeria,alpha_winter_2020_21,2020-10-01,2021-05-31,2020-10-04,2021-02-07,2020-12-06,19,1.6093175438596492,38.30461578947368,0.9654160462263882,25.397000000000006,ok
Algeria,delta_2021,2021-05-01,2021-11-30,2021-05-02,2021-10-10,2021-08-22,24,2.8193613043478263,63.32272000000001,0.9398062545328485,56.92899999999999,ok
Algeria,omicron_ba1_2021_22,2021-11-15,2022-04-30,2021-11-21,2022-03-13,2022-02-06,17,1.2975000000000005,131.19011764705883,0.9868296856685188,18.580000000000013,ok
American Samoa,first_wave_2020,2020-02-15,2020-10-15,,,,,,,,,no_segment
American Samoa,alpha_winter_2020_21,2020-10-01,2021-05-31,,,,,,,,,no_segment
American Samoa,delta_2021,2021-05-01,2021-11-30,,,,,,,,,no_segment
American Samoa,omicron_ba1_2021_22,2021-11-15,2022-04-30,,,,,,,,,no_segment
Andorra,first_wave_2020,2020-02-15,2020-10-15,2020-03-29,2020-05-24,2020-04-19,9,69.19876666666666,169.1992666666667,0.9138206275528865,564.461,ok
Andorra,alpha_winter_2020_21,2020-10-01,2021-05-31,2020-10-18,2020-11-15,2020-11-01,5,47.665499999999994,790.2464000000001,0.7397532969316861,200.697,ok
Andorra,delta_2021,2021-05-01,2021-11-30,,,,,,,,,no_segment
Andorra,omicron_ba1_2021_22,2021-11-15,2022-04-30,2021-11-28,2022-03-27,2021-12-26,18,17.501482972136227,1653.3330058479535,0.9703610590931575,275.95900000000006,ok
Angola,first_wave_2020,2020-02-15,2020-10-15,2020-07-12,2020-10-11,2020-10-11,14,0.4030065934065934,0.34302857142857146,0.9790702908530221,5.5,ok
Angola,alpha_winter_2020_21,2020-10-01,2021-05-31,2020-10-04,2021-05-30,2021-05-30,35,0.3722683473389356,6.374066666666666,0.9697701055868633,15.966999999999999,ok
