enrollment_date,t,calendar_week,dead0,alive0,h0,dead2,alive2,h2,dead3,alive3,h3,HR20,HR30,edge_sameweek0,edge_sameweek2,edge_sameweek3
2021-10-18,0,2021-10-18,827,5625481,0.00014702045824152303,1124,5285091,0.0002126963451685769,10,21860,0.00045756120679334194,1.4467125712474824,3.1122281365880875,2,6,0
2021-10-18,1,2021-10-25,901,5598623,0.00016094538029063423,1224,5208752,0.00023501672490253104,9,21850,0.00041198416732501534,1.460226596613952,2.559776282991514,1,7,0
2021-10-18,2,2021-11-01,961,5554926,0.00017301457047282488,1247,5108835,0.00024411675323014983,15,21840,0.0006870491510383883,1.4109606639661187,3.971047924812217,1,24,0
2021-10-18,3,2021-11-08,1088,5483678,0.00019842666686058184,1167,4959789,0.000235319953041882,16,21825,0.0007333730905768533,1.1859290727653158,3.6959401787065973,2,16,0
2021-10-18,4,2021-11-15,1219,5417858,0.00022502198397276319,1133,4818771,0.00023514983750081643,11,21809,0.0005045061679691839,1.045008284742877,2.242030574356013,3,17,0
2021-10-18,5,2021-11-22,1284,5345752,0.00024021956632779785,1142,4714771,0.00024224682991490868,15,21798,0.0006883734009005414,1.0084392109189992,2.8656008809923654,4,9,0
2021-10-18,6,2021-11-29,1329,5258065,0.0002527865257891229,1055,4576906,0.00023053163209128921,26,21783,0.001194304230153944,0.9119617090809699,4.724556526206008,6,17,0
2021-10-18,7,2021-12-06,1314,5200944,0.0002526783631347791,1009,4295032,0.00023495017895246926,16,21757,0.0007356660408113592,0.9298389305583178,2.9114722435452602,4,15,0
2021-10-18,8,2021-12-13,1243,5163117,0.00024077502944168646,848,3957517,0.00021429872971022822,20,21741,0.0009203442736975729,0.8900371861947147,3.822424093693121,1,19,0
2021-10-18,9,2021-12-20,1095,5126010,0.00021363925775764303,761,3636890,0.000209266606556932,12,21721,0.0005526134149380795,0.9795325482469545,2.5866660497621465,0,18,0
2021-10-18,10,2021-12-27,1032,5105508,0.0002021550677286636,655,3447730,0.00018999812234591035,17,21709,0.000783392127804156,0.939863266751885,3.875204003570367,2,8,0
2021-10-18,11,2022-01-03,928,5086213,0.00018247066510255092,540,3237670,0.00016680051932165926,19,21692,0.0008762827725491302,0.914122383605689,4.8023213597464975,3,6,0
2021-10-18,12,2022-01-10,863,5053563,0.0001707851857996349,547,2837460,0.0001927966320487936,13,21673,0.0006000046334205128,1.128883814753011,3.513212405462602,1,6,0
2021-10-18,13,2022-01-17,751,5023887,0.00014949702044051905,487,2472145,0.00019701432341672468,15,21660,0.000692760678900716,1.3178478262388615,4.633943050231876,0,4,0
2021-10-18,14,2022-01-24,732,5003556,0.0001463066566141942,402,2245396,0.00017904903630823103,14,21645,0.0006470099125793818,1.2237928229087853,4.42228622779294,2,2,0
2021-10-18,15,2022-01-31,873,4990332,0.00017495356410307747,465,2075496,0.00022406793255194454,16,21631,0.0007399528617693921,1.2807280246084631,4.229424336468125,1,4,0
2021-10-18,16,2022-02-07,858,4981867,0.00017223942205468244,457,1965691,0.00023251524873103388,20,21615,0.0009257117069306384,1.3499537211476194,5.374563476163687,2,3,0
2021-10-18,17,2022-02-14,827,4977014,0.00016617769537719725,402,1902020,0.00021137658289078557,22,21595,0.001019273624197783,1.2719913007037074,6.133636778896182,0,0,0
2021-10-18,18,2022-02-21,797,4973379,0.00016026606211425482,351,1859071,0.00018882180361555698,19,21573,0.0008811186138267094,1.178177095790527,5.497849028065303,0,0,0
2021-10-18,19,2022-02-28,773,4970451,0.00015553118104564466,337,1825886,0.00018458496506538232,21,21554,0.0009747720501689641,1.1868035967090809,6.26737380643237,0,0,0
2021-10-18,20,2022-03-07,761,4968112,0.00015318863378344728,350,1804888,0.00019393665424748615,16,21533,0.0007433217531569289,1.2659989808489425,4.852329672237394,0,0,0
2021-10-18,21,2022-03-14,671,4966130,0.00013512439973527315,326,1787396,0.00018240486881334407,18,21517,0.0008368979473031726,1.349903268178802,6.193536836742795,0,0,0
2021-10-18,22,2022-03-21,725,4964316,0.00014605293971601917,309,1770185,0.00017457326344645104,14,21499,0.0006514051970523873,1.1952738766223119,4.460062209764209,0,0,0
2021-10-18,23,2022-03-28,718,4962538,0.00014469449837510823,330,1754118,0.0001881464332130933,20,21485,0.0009313155504344906,1.300301223100685,6.4364268226711285,0,0,0
2021-10-18,24,2022-04-04,654,4960606,0.0001318474224831808,298,1738577,0.00017141923664923186,22,21465,0.001025449889430216,1.3001333922253888,7.777549762575208,0,0,0
2021-10-18,25,2022-04-11,622,4958971,0.000125437114223496,287,1724890,0.00016640126572936066,17,21443,0.0007931139467272471,1.3265712206426983,6.3228012828334546,0,0,0
2021-10-25,0,2021-10-25,901,5598623,0.00016094538029063423,1226,5224237,0.0002347029582580599,26,75216,0.00034573089183920506,1.4582770740870887,2.148125601461106,1,7,0
2021-10-25,1,2021-11-01,961,5554926,0.00017301457047282488,1249,5124318,0.00024376946165594878,17,75189,0.00022612246623042315,1.4089533672786088,1.3069562038183358,1,24,0
2021-10-25,2,2021-11-08,1088,5483678,0.00019842666686058184,1172,4975270,0.00023559285482668805,42,75172,0.0005588748132851387,1.1873044009362907,2.8165307724380324,2,16,0
