================================================================================
KCOR v7.6 - Kirsch Cumulative Outcomes Ratio Analysis
================================================================================
Analysis Date: 2026-06-01 19:33:23
Mode: Monte Carlo Audit n=100 (Monte Carlo)
Input File: data/Czech/KCOR_CMR_MC_audit_100.xlsx
Output File: data/Czech/KCOR_MC_audit_100.xlsx
Log File: data/Czech/KCOR_MC_audit_100_summary.log
[DEBUG] Loaded dose pairs config from /mnt/c/Users/stk/Documents/GitHub/KCOR/data/Czech/Czech.yaml
[DEBUG] Loaded NPH_correction config from /mnt/c/Users/stk/Documents/GitHub/KCOR/data/Czech/Czech.yaml
[DEBUG] Loaded 4 theta estimation window(s) from /mnt/c/Users/stk/Documents/GitHub/KCOR/data/Czech/Czech.yaml
[DEBUG] Loaded Gompertz theta fit config from /mnt/c/Users/stk/Documents/GitHub/KCOR/data/Czech/Czech.yaml: {'gamma_per_year': 0.085, 'k_anchor_weeks': 4, 'gamma_per_week': 0.0016346153846153847, 'k_anchor_tolerance': 0.2, 'convergence_tol': 1e-08, 'max_iterations': 25}
--------------------------------------------------------------------------------
Configuration Parameters (effective):
  KCOR_NORMALIZATION_WEEKS = 4
  DYNAMIC_HVE_SKIP_WEEKS = 2
  AGE_RANGE             = 10
  YEAR_RANGE            = (1920, 2009)
  ENROLLMENT_DATES      = None
  MC_ENROLLMENT_DATE    = 2021_24
  MC_YOB_RANGE          = 1940-1949
  MC_YOB_BUCKETS        = [1940]
  MC_INCLUDE_AGGREGATES = False
  DEBUG_VERBOSE         = True
  OVERRIDE_DOSE_PAIRS   = None
  OVERRIDE_YOBS         = None
  Reporting date calculation: 1 year from enrollment date
  NEGATIVE_CONTROL_MODE = 0
  THETA_ESTIMATION_WINDOWS = 2023-19..2023-40 (2023 post COVID); 2022-22..2022-25 (post booster); 2021-26..2021-36 (post primary); 2024-11..2024-14 (post 2024)
  THETA_IDENTIFIABILITY = min_quiet_deaths=30, theta0_max=100.0, action=set_zero
  GOMPERTZ_THETA_FIT     = gamma=0.085/yr, k_anchor_weeks=4, convergence_tol=1e-08, max_iterations=25, gamma_per_week=0.00163462
  NPH_CORRECTION        = 2021-41..2022-12, forced_alpha sensitivity=1.180, neutralization=symmetric_all_cohorts
  NORMALIZATION_METHOD  = KCOR7 (gamma-frailty inversion)
================================================================================

[INFO] Monte Carlo mode: Found 1 enrollment date sheet(s): ['2021_24']
[DEBUG] Limiting to age range: 1920-2009
[DEBUG] Limiting to enrollment dates: [2021_24] (processing 1 enrollment date sheet(s))
[Info] Processing sheet: 2021_24
[DEBUG] Input data for sheet 2021_24:
  Columns: ['ISOweekDied', 'YearOfBirth', 'Dose', 'DateDied', 'Dead', 'Alive', 'mc_id']
  Rows: 104400
  mc_id column: 104400/104400 non-NaN, unique values: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]
  mc_id range: 0 to 99
[INFO] Processing 100 Monte Carlo iteration(s): [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]
  Alive column: 104400/104400 non-NaN, 104400/104400 > 0
  Alive range: 20164 to 300926
  Dead column: 104400/104400 non-NaN, range: 0 to 299
  ISOweekDied sample: ['2021-24', '2021-24', '2021-24']
[DEBUG] Monte Carlo mode: Filtered to YOB 1940-1949 (aggregates=False): 104400 rows
[DEBUG] Monte Carlo mode: Using enrollment date 06/14/2021 (2021-24) for iteration 2021_24
[DEBUG] Filtered to start from enrollment date: 104400 rows
[DEBUG] Monte Carlo mode: Filtered to doses [0, 1, 2] (max dose 2): 104400 rows
[DEBUG] Monte Carlo mode: Filtered to YOB buckets [1940] (aggregates=False): 104400 rows
[DEBUG] Sample ISOweekDied values: ['2021-24', '2021-24', '2021-24', '2021-24', '2021-24']
[DEBUG] Sample parsed ISO int values: [202124.0, 202124.0, 202124.0, 202124.0, 202124.0]
[DEBUG] Quiet window: 2023-01 (202301) to 2023-52 (202352)
[DEBUG] Valid ISO int values: 52200/52200
[DEBUG] ISO int range in data: 202124 to 202441
enroll | iter | YoB | dose | theta | k | relRMSE | bins
----------------------------------------------------------------------
2021_24 | 0 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 1 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
[KCOR7_INSUFFICIENT_SIGNAL] enroll=2021_24, yob=1940, dose=0
2021_24 | 2 | 1940 | 0 | 0.000000e+00 | 1.844205e-03 | nan | 42
[KCOR7_INSUFFICIENT_SIGNAL] enroll=2021_24, yob=1940, dose=0
2021_24 | 3 | 1940 | 0 | 0.000000e+00 | 1.691736e-03 | nan | 42
[KCOR7_INSUFFICIENT_SIGNAL] enroll=2021_24, yob=1940, dose=0
2021_24 | 4 | 1940 | 0 | 0.000000e+00 | 1.775377e-03 | nan | 42
[KCOR7_INSUFFICIENT_SIGNAL] enroll=2021_24, yob=1940, dose=0
2021_24 | 5 | 1940 | 0 | 0.000000e+00 | 1.825887e-03 | nan | 42
2021_24 | 6 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 7 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 8 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 9 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 10 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 11 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 12 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 13 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 14 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 15 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 16 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 17 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 18 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 19 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 20 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 21 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 22 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 23 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 24 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 25 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 26 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 27 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 28 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 29 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 30 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 31 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 32 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 33 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 34 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 35 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 36 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 37 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 38 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 39 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 40 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 41 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 42 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 43 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 44 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 45 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 46 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 47 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 48 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 49 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 50 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 51 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 52 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 53 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 54 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 55 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 56 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 57 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 58 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 59 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 60 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 61 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 62 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 63 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 64 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 65 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 66 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 67 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 68 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 69 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 70 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 71 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 72 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 73 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 74 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 75 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 76 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 77 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
2021_24 | 78 | 1940 | 0 | 0.000000e+00 | nan | nan | 41
